scenario_family,year,target_column,target_label,predicted_prevalence_per_100k,lag_1_used,rolling_3_used,table_role,model_name
high_emissions,2026,lyme_cases_per_100k,Lyme prevalence per 100k,6922.319157781094,7939.903481400254,5693.654599010776,scenario_projection_recursive,lyme_prevalence
high_emissions,2027,lyme_cases_per_100k,Lyme prevalence per 100k,6950.865525777931,6922.319157781094,6648.390376670647,scenario_projection_recursive,lyme_prevalence
high_emissions,2028,lyme_cases_per_100k,Lyme prevalence per 100k,6723.82966317518,6950.865525777931,7271.02938831976,scenario_projection_recursive,lyme_prevalence
high_emissions,2029,lyme_cases_per_100k,Lyme prevalence per 100k,6854.911666144334,6723.82966317518,6865.671448911402,scenario_projection_recursive,lyme_prevalence
high_emissions,2030,lyme_cases_per_100k,Lyme prevalence per 100k,6998.253251347954,6854.911666144334,6843.202285032482,scenario_projection_recursive,lyme_prevalence
high_emissions,2031,lyme_cases_per_100k,Lyme prevalence per 100k,7005.4632146604745,6998.253251347954,6858.998193555822,scenario_projection_recursive,lyme_prevalence
high_emissions,2032,lyme_cases_per_100k,Lyme prevalence per 100k,7377.396880827673,7005.4632146604745,6952.87604405092,scenario_projection_recursive,lyme_prevalence
high_emissions,2033,lyme_cases_per_100k,Lyme prevalence per 100k,7127.705233038145,7377.396880827673,7127.0377822787,scenario_projection_recursive,lyme_prevalence
high_emissions,2034,lyme_cases_per_100k,Lyme prevalence per 100k,7727.96841269074,7127.705233038145,7170.188442842097,scenario_projection_recursive,lyme_prevalence
high_emissions,2035,lyme_cases_per_100k,Lyme prevalence per 100k,7175.870649885997,7727.96841269074,7411.023508852185,scenario_projection_recursive,lyme_prevalence
medium_emissions,2026,lyme_cases_per_100k,Lyme prevalence per 100k,6985.034168743854,7939.903481400254,5693.654599010776,scenario_projection_recursive,lyme_prevalence
medium_emissions,2027,lyme_cases_per_100k,Lyme prevalence per 100k,6962.659118536398,6985.034168743854,6669.2953803249,scenario_projection_recursive,lyme_prevalence
medium_emissions,2028,lyme_cases_per_100k,Lyme prevalence per 100k,6885.52601113644,6962.659118536398,7295.865589560169,scenario_projection_recursive,lyme_prevalence
medium_emissions,2029,lyme_cases_per_100k,Lyme prevalence per 100k,6555.235565439199,6885.52601113644,6944.406432805564,scenario_projection_recursive,lyme_prevalence
medium_emissions,2030,lyme_cases_per_100k,Lyme prevalence per 100k,6908.723278893076,6555.235565439199,6801.140231704012,scenario_projection_recursive,lyme_prevalence
medium_emissions,2031,lyme_cases_per_100k,Lyme prevalence per 100k,7337.558474076674,6908.723278893076,6783.161618489572,scenario_projection_recursive,lyme_prevalence
medium_emissions,2032,lyme_cases_per_100k,Lyme prevalence per 100k,7052.03356595947,7337.558474076674,6933.839106136315,scenario_projection_recursive,lyme_prevalence
medium_emissions,2033,lyme_cases_per_100k,Lyme prevalence per 100k,6805.401129395376,7052.03356595947,7099.438439643073,scenario_projection_recursive,lyme_prevalence
medium_emissions,2034,lyme_cases_per_100k,Lyme prevalence per 100k,7146.263555974397,6805.401129395376,7064.99772314384,scenario_projection_recursive,lyme_prevalence
medium_emissions,2035,lyme_cases_per_100k,Lyme prevalence per 100k,7149.215303978427,7146.263555974397,7001.2327504430805,scenario_projection_recursive,lyme_prevalence
