year,year_start,year_end,population_total,population_density_per_km2,air_temperature_c_mean,relative_humidity_pct_mean,precipitation_sum_mm,soil_water_layer_1_m3_m3_mean,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,table_role
2016,2016-01-01,2016-12-31,60385.38169972891,315.9383689857707,12.696110468170613,77.47886402855698,979.6515292856436,0.3579355824355486,,,,,,,,,,,,,,,,,,,,,,,,,4025.0,82.0,4107.0,6665.520506295102,135.79445503508035,6801.314961330182,observed_yearly_reference
2017,2017-01-01,2017-12-31,60470.58305528596,316.36473828534366,10.186249904439196,74.90957910642781,1320.1943991764938,0.3482623009324899,4025.0,,,,82.0,,,,4107.0,,,,6665.520506295102,,,,135.79445503508035,,,,6801.314961330182,,,,4537.0,102.0,4639.0,7502.82165437696,168.6770572507053,7671.498711627665,observed_yearly_reference
2018,2018-01-01,2018-12-31,60615.93236569128,316.867934277752,10.825239141670169,79.06163996060386,1267.4292278357398,0.3644195305725551,4537.0,4025.0,,,102.0,82.0,,,4639.0,4107.0,,,7502.82165437696,6665.520506295102,,,168.6770572507053,135.79445503508035,,,7671.498711627665,6801.314961330182,,,7544.0,153.0,7697.0,12445.572814895637,252.4088866223532,12697.98170151799,observed_yearly_reference
2019,2019-01-01,2019-12-31,61422.00886092457,320.91632408312654,10.994438915030509,77.3910709628892,1352.6579768575002,0.3625173989610184,7544.0,4537.0,4025.0,5368.666666666667,153.0,102.0,82.0,112.33333333333333,7697.0,4639.0,4107.0,5481.0,12445.572814895637,7502.82165437696,6665.520506295102,8871.304991855899,252.4088866223532,168.6770572507053,135.79445503508035,185.6267996360463,12697.98170151799,7671.498711627665,6801.314961330182,9056.931791491947,3918.0,111.0,4029.0,6378.821000256395,180.71698086484423,6559.537981121239,observed_yearly_reference
2020,2020-01-01,2020-12-31,62012.442189255125,323.932601010114,10.706979921821729,75.67414813200153,1226.036710336086,0.3533324586031404,3918.0,7544.0,4537.0,5333.0,111.0,153.0,102.0,122.0,4029.0,7697.0,4639.0,5455.0,6378.821000256395,12445.572814895637,7502.82165437696,8775.738489842997,180.71698086484423,252.4088866223532,168.6770572507053,200.60097491263426,6559.537981121239,12697.98170151799,7671.498711627665,8976.339464755632,7497.0,187.0,7684.0,12089.509355429003,301.5523875503833,12391.061742979386,observed_yearly_reference
2021,2021-01-01,2021-12-31,61630.90038393022,323.1461898351665,9.91587997953942,76.03557946813733,1181.8043001768797,0.3537877905157054,7497.0,3918.0,7544.0,6319.666666666667,187.0,111.0,153.0,150.33333333333334,7684.0,4029.0,7697.0,6470.0,12089.509355429003,6378.821000256395,12445.572814895637,10304.634390193678,301.5523875503833,180.71698086484423,252.4088866223532,244.8927516791936,12391.061742979386,6559.537981121239,12697.98170151799,10549.527141872872,2933.0,62.0,2995.0,4758.976392895206,100.59888726883833,4859.575280164045,observed_yearly_reference
2022,2022-01-01,2022-12-31,61226.29116829127,321.16693590485863,11.22803785504344,74.36556097861238,1067.0860903998014,0.343058306957088,2933.0,7497.0,3918.0,4782.666666666667,62.0,187.0,111.0,120.0,2995.0,7684.0,4029.0,4902.666666666667,4758.976392895206,12089.509355429003,6378.821000256395,7742.435582860201,100.59888726883833,301.5523875503833,180.71698086484423,194.2894185613553,4859.575280164045,12391.061742979386,6559.537981121239,7936.725001421556,4008.0,126.0,4134.0,6546.207394766579,205.79394504505717,6752.001339811636,observed_yearly_reference
2023,2023-01-01,2023-12-31,61949.9932120028,324.3733573235735,10.919786739196107,78.93706845830313,1580.0669189209275,0.3658926064236483,4008.0,2933.0,7497.0,4812.666666666667,126.0,62.0,187.0,125.0,4134.0,2995.0,7684.0,4937.666666666667,6546.207394766579,4758.976392895206,12089.509355429003,7798.231047696929,205.79394504505717,100.59888726883833,301.5523875503833,202.6484066214263,6752.001339811636,4859.575280164045,12391.061742979386,8000.879454318355,2514.0,63.0,2577.0,4058.111824801481,101.69492639717312,4159.806751198653,observed_yearly_reference
2024,2024-01-01,2024-12-31,62326.02997482519,326.37382441857125,11.396065889857551,77.99732691028535,1331.4779179192617,0.3565672519627481,2514.0,4008.0,2933.0,3151.6666666666665,63.0,126.0,62.0,83.66666666666667,2577.0,4134.0,2995.0,3235.3333333333335,4058.111824801481,6546.207394766579,4758.976392895206,5121.0985374877555,101.69492639717312,205.79394504505717,100.59888726883833,136.02925290368955,4159.806751198653,6752.001339811636,4859.575280164045,5257.127790391444,3168.0,91.0,3259.0,5082.948490830592,146.00641182625756,5228.95490265685,observed_yearly_reference
2025,2025-01-01,2025-12-31,62985.65230314413,327.31523088447926,10.956098925623374,76.67508825264939,1131.0809691588174,0.3480244105220541,3168.0,2514.0,4008.0,3230.0,91.0,63.0,126.0,93.33333333333333,3259.0,2577.0,4134.0,3323.3333333333335,5082.948490830592,4058.111824801481,6546.207394766579,5229.089236799551,146.00641182625756,101.69492639717312,205.79394504505717,151.1650944228293,5228.95490265685,4159.806751198653,6752.001339811636,5380.25433122238,5001.0,80.0,5081.0,7939.903481400254,127.0130530917857,8066.91653449204,observed_yearly_reference
