scenario_family,year,target_column,target_label,baseline_prevalence_per_100k,recent_momentum,predicted_residual,predicted_prevalence_per_100k,table_role,model_name
high_emissions,2026,lyme_cases_per_100k,Lyme prevalence per 100k,7939.903481400254,2246.2488823894782,-2103.25641862679,5836.647062773464,scenario_projection_recursive,lyme_prevalence
high_emissions,2027,lyme_cases_per_100k,Lyme prevalence per 100k,5836.647062773464,-449.85261556130627,-209.9092914176672,5626.737771355797,scenario_projection_recursive,lyme_prevalence
high_emissions,2028,lyme_cases_per_100k,Lyme prevalence per 100k,5626.737771355797,-841.0250004873751,-86.02459919696321,5540.713172158834,scenario_projection_recursive,lyme_prevalence
high_emissions,2029,lyme_cases_per_100k,Lyme prevalence per 100k,5540.713172158834,-127.31949660386454,1879.3313480192166,7420.04452017805,scenario_projection_recursive,lyme_prevalence
high_emissions,2030,lyme_cases_per_100k,Lyme prevalence per 100k,7420.04452017805,1224.2126989471562,-1993.4006477058465,5426.643872472204,scenario_projection_recursive,lyme_prevalence
high_emissions,2031,lyme_cases_per_100k,Lyme prevalence per 100k,5426.643872472204,-702.489982464158,-350.1295447680577,5076.514327704146,scenario_projection_recursive,lyme_prevalence
high_emissions,2032,lyme_cases_per_100k,Lyme prevalence per 100k,5076.514327704146,-897.8865790806531,4943.806202371816,10020.320530075962,scenario_projection_recursive,lyme_prevalence
high_emissions,2033,lyme_cases_per_100k,Lyme prevalence per 100k,10020.320530075962,3179.1609533251913,-91.46718754423023,9928.853342531731,scenario_projection_recursive,lyme_prevalence
high_emissions,2034,lyme_cases_per_100k,Lyme prevalence per 100k,9928.853342531731,1586.9572757611168,4319.397878805754,14248.251221337485,scenario_projection_recursive,lyme_prevalence
high_emissions,2035,lyme_cases_per_100k,Lyme prevalence per 100k,14248.251221337485,2849.1095233557608,-946.1979222864716,13302.053299051013,scenario_projection_recursive,lyme_prevalence
high_emissions,2036,lyme_cases_per_100k,Lyme prevalence per 100k,13302.053299051013,809.0006780776039,-292.212439917909,13009.840859133104,scenario_projection_recursive,lyme_prevalence
high_emissions,2037,lyme_cases_per_100k,Lyme prevalence per 100k,13009.840859133104,-510.20760070742836,2670.111347970502,15679.952207103606,scenario_projection_recursive,lyme_prevalence
high_emissions,2038,lyme_cases_per_100k,Lyme prevalence per 100k,15679.952207103606,1682.6700853410312,1661.557835024613,17341.51004212822,scenario_projection_recursive,lyme_prevalence
high_emissions,2039,lyme_cases_per_100k,Lyme prevalence per 100k,17341.51004212822,1997.7423393399094,3810.3545708353613,21151.86461296358,scenario_projection_recursive,lyme_prevalence
high_emissions,2040,lyme_cases_per_100k,Lyme prevalence per 100k,21151.86461296358,3094.08899223178,-482.7701523333376,20669.094460630244,scenario_projection_recursive,lyme_prevalence
