model_name,alpha,validation_year,fold_rmse,mean_fold_rmse
combined_prevalence,0.1,2022,1439.4320461528941,2799.6193986757735
combined_prevalence,0.1,2023,4159.806751198653,2799.6193986757735
combined_prevalence,1.0,2022,1117.7703102217374,2638.788530710195
combined_prevalence,1.0,2023,4159.806751198653,2638.788530710195
combined_prevalence,10.0,2022,1283.6912281757332,1159.9584541063118
combined_prevalence,10.0,2023,1036.2256800368905,1159.9584541063118
combined_prevalence,100.0,2022,3929.2305075966215,2375.2265040159195
combined_prevalence,100.0,2023,821.2225004352176,2375.2265040159195
combined_prevalence,1000.0,2022,4442.8465790693535,2759.5896838964077
combined_prevalence,1000.0,2023,1076.3327887234618,2759.5896838964077
