municipality_code,statistical_region_code
001,11
002,01
003,09
004,09
005,08
006,11
007,11
008,08
009,06
010,01
011,04
012,09
013,10
014,11
015,01
016,03
017,07
018,02
019,12
020,08
021,08
022,08
023,08
024,02
025,03
026,02
027,09
028,02
029,01
030,04
031,01
032,08
033,01
034,05
035,12
036,11
037,08
038,10
039,08
040,12
041,09
042,02
043,08
044,11
045,02
046,11
047,01
048,07
049,12
050,12
051,04
052,09
053,09
054,06
055,02
056,01
057,04
058,02
059,01
060,05
061,08
062,04
063,01
064,08
065,10
066,07
067,04
068,08
069,02
070,02
071,08
072,08
073,07
074,03
075,11
076,03
077,08
078,01
079,04
080,01
081,03
082,09
083,04
084,11
085,07
086,01
087,02
088,07
089,02
090,12
091,10
092,04
093,03
094,10
095,09
096,02
097,01
098,02
099,06
100,01
101,03
102,09
103,03
104,07
105,01
106,04
107,04
108,02
109,07
110,06
111,12
112,03
113,02
114,04
115,02
116,01
117,09
118,02
119,07
120,04
121,07
122,09
123,08
124,04
125,04
126,04
127,04
128,11
129,05
130,07
131,09
132,01
133,04
134,08
135,02
136,11
137,04
138,08
139,04
140,08
141,03
142,05
143,02
144,04
146,09
147,09
148,02
149,06
150,10
151,04
152,01
153,02
154,04
155,04
156,01
157,07
158,01
159,02
160,02
161,01
162,08
163,09
164,08
165,07
166,01
167,02
168,02
169,02
170,07
171,02
172,02
173,04
174,04
175,03
176,01
177,03
178,02
179,07
180,04
181,02
182,02
183,11
184,04
185,02
186,08
187,01
188,01
189,04
190,04
191,02
192,09
193,07
194,08
195,01
196,02
197,06
198,02
199,07
200,02
201,11
202,02
203,07
204,02
205,02
206,07
207,09
208,08
209,04
210,02
211,07
212,07
213,12
