municipality_code,year,population
001,2008,18705
001,2009,18651
001,2010,18854
001,2011,18939
001,2012,18958
001,2013,18955
001,2014,18848
001,2015,18959
001,2016,19047
001,2017,19093
001,2018,19130
001,2019,19249
001,2020,19418
001,2021,19704
001,2022,19727
001,2023,19811
001,2024,19891
001,2025,19895
002,2008,8540
002,2009,8337
002,2010,8358
002,2011,8333
002,2012,8335
002,2013,8302
002,2014,8334
002,2015,8264
002,2016,8261
002,2017,8233
002,2018,8183
002,2019,8104
002,2020,8059
002,2021,8068
002,2022,8104
002,2023,8082
002,2024,8071
002,2025,8129
003,2008,8188
003,2009,8148
003,2010,8131
003,2011,8122
003,2012,8177
003,2013,8171
003,2014,8192
003,2015,8127
003,2016,8035
003,2017,7981
003,2018,7873
003,2019,7835
003,2020,7868
003,2021,8217
003,2022,8250
003,2023,8190
003,2024,8157
003,2025,8154
004,2008,5294
004,2009,5217
004,2010,5287
004,2011,5257
004,2012,5198
004,2013,5206
004,2014,5176
004,2015,5146
004,2016,5139
004,2017,5149
004,2018,5125
004,2019,5105
004,2020,5145
004,2021,5611
004,2022,5676
004,2023,5439
004,2024,5275
004,2025,5238
005,2008,3921
005,2009,3933
005,2010,3948
005,2011,3984
005,2012,3993
005,2013,3992
005,2014,4153
005,2015,4250
005,2016,4275
005,2017,4376
005,2018,4412
005,2019,4483
005,2020,4579
005,2021,4664
005,2022,4629
005,2023,4681
005,2024,4726
005,2025,4706
006,2008,3312
006,2009,3175
006,2010,3197
006,2011,3256
006,2012,3186
006,2013,3195
006,2014,3147
006,2015,3134
006,2016,3124
006,2017,3082
006,2018,3049
006,2019,3048
006,2020,3073
006,2021,3245
006,2022,3178
006,2023,3044
006,2024,3054
006,2025,3004
007,2008,5749
007,2009,5669
007,2010,5740
007,2011,5751
007,2012,5761
007,2013,5734
007,2014,5707
007,2015,5662
007,2016,5659
007,2017,5625
007,2018,5623
007,2019,5602
007,2020,5619
007,2021,5639
007,2022,5632
007,2023,5590
007,2024,5573
007,2025,5584
008,2008,10283
008,2009,10552
008,2010,10806
008,2011,11129
008,2012,11382
008,2013,11620
008,2014,11761
008,2015,11884
008,2016,11974
008,2017,12092
008,2018,12186
008,2019,12412
008,2020,12671
008,2021,12785
008,2022,12823
008,2023,12838
008,2024,13004
008,2025,13133
009,2008,24459
009,2009,24238
009,2010,24330
009,2011,24301
009,2012,24306
009,2013,24285
009,2014,24252
009,2015,24184
009,2016,24254
009,2017,24204
009,2018,24086
009,2019,24084
009,2020,24051
009,2021,24419
009,2022,24370
009,2023,24417
009,2024,24450
009,2025,24402
010,2008,4264
010,2009,4143
010,2010,4159
010,2011,4134
010,2012,4140
010,2013,4124
010,2014,4107
010,2015,4084
010,2016,4039
010,2017,4012
010,2018,3976
010,2019,3952
010,2020,3970
010,2021,3965
010,2022,3941
010,2023,3968
010,2024,3948
010,2025,3905
011,2008,49501
011,2009,48991
011,2010,48783
011,2011,48592
011,2012,48653
011,2013,48675
011,2014,48868
011,2015,48773
011,2016,49077
011,2017,49380
