statistical_region_code,statistical_region_name,statistical_region_name_en
01,POMURSKA STATISTIČNA REGIJA,POMURSKA STATISTICAL REGION
02,PODRAVSKA STATISTIČNA REGIJA,PODRAVSKA STATISTICAL REGION
03,KOROŠKA STATISTIČNA REGIJA,KOROŠKA STATISTICAL REGION
04,SAVINJSKA STATISTIČNA REGIJA,SAVINJSKA STATISTICAL REGION
05,ZASAVSKA STATISTIČNA REGIJA,ZASAVSKA STATISTICAL REGION
06,POSAVSKA STATISTIČNA REGIJA,POSAVSKA STATISTICAL REGION
07,JUGOVZHODNA SLOVENIJA,JUGOVZHODNA SLOVENIA
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,OSREDNJESLOVENSKA STATISTICAL REGION
09,GORENJSKA STATISTIČNA REGIJA,GORENJSKA STATISTICAL REGION
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA
11,GORIŠKA STATISTIČNA REGIJA,GORIŠKA STATISTICAL REGION
12,OBALNO-KRAŠKA STATISTIČNA REGIJA,OBALNO-KRAŠKA STATISTICAL REGION
