system_type,candidate_id,candidate_name,training_support,n_folds,n_expected_predictions,n_available_predictions,n_missing_predictions,prediction_metric_status,pooled_mae,mean_fold_mae,pooled_rmse,mean_fold_rmse,pooled_mean_poisson_deviance,poisson_deviance_status,n_poisson_valid,n_poisson_invalid
epidemiological_baseline,baseline_a_overall_history,Overall historical count expectation,original_phase_8_development_support,8,81832,81832,0,complete,2.17386775617372,2.17311088997936,5.51585660836204,5.14015109694077,5.05353399257689,valid,81832,0
epidemiological_baseline,baseline_b_municipality_history,Municipality historical count expectation,original_phase_8_development_support,8,81832,81832,0,complete,1.66103398441109,1.66008422963318,4.29590039290925,3.9537865113598,,invalid_zero_prediction_positive_observation_present,81821,11
epidemiological_baseline,baseline_c_seasonal_history,Seasonal historical count expectation,original_phase_8_development_support,8,81832,81832,0,complete,2.01366763887743,2.01333691064665,5.36950323726913,5.03392394292609,4.10505247028895,valid,81832,0
epidemiological_baseline,baseline_d_municipality_seasonal_history,Municipality and seasonal historical count expectation,original_phase_8_development_support,8,81832,81832,0,complete,1.33579582617581,1.33549185871423,3.18732394779901,3.0340220073809,,invalid_zero_prediction_positive_observation_present,77718,4114
epidemiological_baseline,baseline_e_four_week_persistence,Previous four completed weeks persistence,original_phase_8_development_support,8,81832,81832,0,complete,1.37600205298661,1.37503233899692,3.57809368570714,3.36356305058958,,invalid_zero_prediction_positive_observation_present,68969,12863
phase_9_statistical_model,model_s1_seasonality_offset,S1 seasonality with population exposure,original_phase_9_development_support,8,81832,81832,0,complete,1.50911885173055,1.50887429410578,3.72150062401024,3.64223669437803,2.12920241474067,valid,81832,0
phase_9_statistical_model,model_s2_seasonality_municipality_offset,S2 seasonality and municipality fixed effects with population exposure,original_phase_9_development_support,8,81832,81832,0,complete,1.33014679465326,1.32969354349635,3.23464466655147,3.05181459263369,1.7079617441444,valid,81832,0
phase_9_statistical_model,model_s3_seasonality_municipality_past_incidence_offset,"S3 seasonality, municipality fixed effects and past incidence with population exposure",original_phase_9_development_support,8,81832,81832,0,complete,1.27578668381131,1.27517506337499,3.09644013721697,2.89756200605766,1.63375870585689,valid,81832,0
phase_12_weather_ablation,statistical_baseline_s1,S1 baseline on common weather support,common_complete_weather_training_support,8,81832,81832,0,complete,1.53067360780108,1.5305033225522,3.74153512725481,3.67122794450968,2.13234384230936,valid,81832,0
phase_12_weather_ablation,statistical_baseline_s1_plus_static_geography,S1 plus fixed municipality area,common_complete_weather_training_support,8,81832,81832,0,complete,1.53029959987287,1.53011615415571,3.70042755783108,3.62045752611864,2.13278743910568,valid,81832,0
phase_12_weather_ablation,statistical_baseline_s1_plus_weather,S1 plus lagged ERA5-Land weather,common_complete_weather_training_support,8,81832,81832,0,complete,1.53788519351991,1.53780595661116,3.89541305026378,3.77087159002699,2.19788711191123,valid,81832,0
phase_12_weather_ablation,statistical_baseline_s1_plus_static_geography_weather,S1 plus fixed municipality area and lagged ERA5-Land weather,common_complete_weather_training_support,8,81832,81832,0,complete,1.53848213167895,1.53839156437835,3.87833366497466,3.74097219292991,2.20064742022616,valid,81832,0
matched_statistical_reference,model_s3_weather_offset_matched,"S3 seasonality, municipality fixed effects, past incidence and lagged ERA5-Land weather with population exposure",common_complete_weather_training_support,8,81832,81832,0,complete,1.3201940738539,1.31977793787887,3.26493416398755,3.04847556395142,1.72160812138867,valid,81832,0
ml_challenger,catboost_poisson_s3_weather_offset,CatBoost Poisson challenger with matched S3 and lagged ERA5-Land information,common_complete_weather_training_support,8,81832,81832,0,complete,1.18263994149763,1.1820272280099,2.79990265027516,2.59198644722002,1.515964304382,valid,81832,0
