iso_week,development_period_start,development_period_end,n_observed_issue_weeks,n_municipality_weeks,reported_lyme_cases
1,2016-01-04,2024-12-30,10,2120,208
2,2016-01-04,2024-12-30,9,1908,209
3,2016-01-04,2024-12-30,9,1908,207
4,2016-01-04,2024-12-30,9,1908,164
5,2016-01-04,2024-12-30,9,1908,142
6,2016-01-04,2024-12-30,9,1908,139
7,2016-01-04,2024-12-30,9,1908,176
8,2016-01-04,2024-12-30,9,1908,145
9,2016-01-04,2024-12-30,9,1908,152
10,2016-01-04,2024-12-30,9,1908,187
11,2016-01-04,2024-12-30,9,1908,192
12,2016-01-04,2024-12-30,9,1908,241
13,2016-01-04,2024-12-30,9,1908,277
14,2016-01-04,2024-12-30,9,1908,376
15,2016-01-04,2024-12-30,9,1908,537
16,2016-01-04,2024-12-30,9,1908,556
17,2016-01-04,2024-12-30,9,1908,696
18,2016-01-04,2024-12-30,9,1908,745
19,2016-01-04,2024-12-30,9,1908,1100
20,2016-01-04,2024-12-30,9,1908,1166
21,2016-01-04,2024-12-30,9,1908,1436
22,2016-01-04,2024-12-30,9,1908,1684
23,2016-01-04,2024-12-30,9,1908,1966
24,2016-01-04,2024-12-30,9,1908,2127
25,2016-01-04,2024-12-30,9,1908,2332
26,2016-01-04,2024-12-30,9,1908,1994
27,2016-01-04,2024-12-30,9,1908,2181
28,2016-01-04,2024-12-30,9,1908,1971
29,2016-01-04,2024-12-30,9,1908,1833
30,2016-01-04,2024-12-30,9,1908,1622
31,2016-01-04,2024-12-30,9,1908,1527
32,2016-01-04,2024-12-30,9,1908,1325
33,2016-01-04,2024-12-30,9,1908,1163
34,2016-01-04,2024-12-30,9,1908,1013
35,2016-01-04,2024-12-30,9,1908,801
36,2016-01-04,2024-12-30,9,1908,781
37,2016-01-04,2024-12-30,9,1908,689
38,2016-01-04,2024-12-30,9,1908,642
39,2016-01-04,2024-12-30,9,1908,489
40,2016-01-04,2024-12-30,9,1908,525
41,2016-01-04,2024-12-30,9,1908,532
42,2016-01-04,2024-12-30,9,1908,496
43,2016-01-04,2024-12-30,9,1908,551
44,2016-01-04,2024-12-30,9,1908,407
45,2016-01-04,2024-12-30,9,1908,496
46,2016-01-04,2024-12-30,9,1908,517
47,2016-01-04,2024-12-30,9,1908,416
48,2016-01-04,2024-12-30,9,1908,339
49,2016-01-04,2024-12-30,9,1908,304
50,2016-01-04,2024-12-30,9,1908,277
51,2016-01-04,2024-12-30,9,1908,212
52,2016-01-04,2024-12-30,9,1908,131
53,2016-01-04,2024-12-30,1,212,13
