municipality_code,municipality_name,period_start,period_end,n_issue_weeks,n_municipality_weeks,reported_lyme_cases
001,Ajdovščina,2016-01-04,2024-12-30,470,470,944
002,Beltinci,2016-01-04,2024-12-30,470,470,155
003,Bled,2016-01-04,2024-12-30,470,470,163
004,Bohinj,2016-01-04,2024-12-30,470,470,172
005,Borovnica,2016-01-04,2024-12-30,470,470,151
006,Bovec,2016-01-04,2024-12-30,470,470,70
007,Brda,2016-01-04,2024-12-30,470,470,198
008,Brezovica,2016-01-04,2024-12-30,470,470,284
009,Brežice,2016-01-04,2024-12-30,470,470,144
010,Tišina,2016-01-04,2024-12-30,470,470,61
011,Celje,2016-01-04,2024-12-30,470,470,257
012,Cerklje na Gorenjskem,2016-01-04,2024-12-30,470,470,125
013,Cerknica,2016-01-04,2024-12-30,470,470,351
014,Cerkno,2016-01-04,2024-12-30,470,470,123
015,Črenšovci,2016-01-04,2024-12-30,470,470,70
016,Črna na Koroškem,2016-01-04,2024-12-30,470,470,35
017,Črnomelj,2016-01-04,2024-12-30,470,470,351
018,Destrnik,2016-01-04,2024-12-30,470,470,57
019,Divača,2016-01-04,2024-12-30,470,470,52
020,Dobrepolje,2016-01-04,2024-12-30,470,470,87
021,Dobrova-Polhov Gradec,2016-01-04,2024-12-30,470,470,355
022,Dol pri Ljubljani,2016-01-04,2024-12-30,470,470,136
023,Domžale,2016-01-04,2024-12-30,470,470,345
024,Dornava,2016-01-04,2024-12-30,470,470,32
025,Dravograd,2016-01-04,2024-12-30,470,470,291
026,Duplek,2016-01-04,2024-12-30,470,470,67
027,Gorenja vas-Poljane,2016-01-04,2024-12-30,470,470,257
028,Gorišnica,2016-01-04,2024-12-30,470,470,28
029,Gornja Radgona,2016-01-04,2024-12-30,470,470,258
030,Gornji Grad,2016-01-04,2024-12-30,470,470,57
031,Gornji Petrovci,2016-01-04,2024-12-30,470,470,53
032,Grosuplje,2016-01-04,2024-12-30,470,470,260
033,Šalovci,2016-01-04,2024-12-30,470,470,35
034,Hrastnik,2016-01-04,2024-12-30,470,470,76
035,Hrpelje-Kozina,2016-01-04,2024-12-30,470,470,43
036,Idrija,2016-01-04,2024-12-30,470,470,243
037,Ig,2016-01-04,2024-12-30,470,470,279
038,Ilirska Bistrica,2016-01-04,2024-12-30,470,470,184
039,Ivančna Gorica,2016-01-04,2024-12-30,470,470,289
040,Izola,2016-01-04,2024-12-30,470,470,236
041,Jesenice,2016-01-04,2024-12-30,470,470,738
042,Juršinci,2016-01-04,2024-12-30,470,470,40
043,Kamnik,2016-01-04,2024-12-30,470,470,485
044,Kanal,2016-01-04,2024-12-30,470,470,201
045,Kidričevo,2016-01-04,2024-12-30,470,470,56
046,Kobarid,2016-01-04,2024-12-30,470,470,375
047,Kobilje,2016-01-04,2024-12-30,470,470,8
048,Kočevje,2016-01-04,2024-12-30,470,470,91
049,Komen,2016-01-04,2024-12-30,470,470,94
050,Koper,2016-01-04,2024-12-30,470,470,686
051,Kozje,2016-01-04,2024-12-30,470,470,16
