municipality_code,municipality_name,issue_year,numerator_period_start,numerator_period_end,reported_lyme_cases,population_total_on_1_january,incidence_per_100000,denominator_status
001,Ajdovščina,2016,2016-01-04,2016-12-26,109,19047,572.2685987295,valid
001,Ajdovščina,2017,2017-01-02,2017-12-25,119,19093,623.2650709684,valid
001,Ajdovščina,2018,2018-01-01,2018-12-31,142,19130,742.2895974909,valid
001,Ajdovščina,2019,2019-01-07,2019-12-30,73,19249,379.2404800249,valid
001,Ajdovščina,2020,2020-01-06,2020-12-28,160,19418,823.9777526007,valid
001,Ajdovščina,2021,2021-01-04,2021-12-27,79,19704,400.9338205441,valid
001,Ajdovščina,2022,2022-01-03,2022-12-26,135,19727,684.3412581741,valid
001,Ajdovščina,2023,2023-01-02,2023-12-25,74,19811,373.5298571501,valid
001,Ajdovščina,2024,2024-01-01,2024-12-30,53,19891,266.4521642954,valid
002,Beltinci,2016,2016-01-04,2016-12-26,12,8261,145.2608643021,valid
002,Beltinci,2017,2017-01-02,2017-12-25,21,8233,255.0710555083,valid
002,Beltinci,2018,2018-01-01,2018-12-31,38,8183,464.3773677136,valid
002,Beltinci,2019,2019-01-07,2019-12-30,12,8104,148.0750246792,valid
002,Beltinci,2020,2020-01-06,2020-12-28,33,8059,409.4800843777,valid
002,Beltinci,2021,2021-01-04,2021-12-27,10,8068,123.9464551314,valid
002,Beltinci,2022,2022-01-03,2022-12-26,19,8104,234.4521224087,valid
002,Beltinci,2023,2023-01-02,2023-12-25,8,8082,98.9853996536,valid
002,Beltinci,2024,2024-01-01,2024-12-30,2,8071,24.7800768182,valid
003,Bled,2016,2016-01-04,2016-12-26,17,8035,211.5743621655,valid
003,Bled,2017,2017-01-02,2017-12-25,17,7981,213.0058889863,valid
003,Bled,2018,2018-01-01,2018-12-31,23,7873,292.1376857615,valid
003,Bled,2019,2019-01-07,2019-12-30,17,7835,216.9751116784,valid
003,Bled,2020,2020-01-06,2020-12-28,26,7868,330.4524656838,valid
003,Bled,2021,2021-01-04,2021-12-27,16,8217,194.7182670074,valid
003,Bled,2022,2022-01-03,2022-12-26,15,8250,181.8181818182,valid
003,Bled,2023,2023-01-02,2023-12-25,13,8190,158.7301587302,valid
003,Bled,2024,2024-01-01,2024-12-30,19,8157,232.9287728331,valid
004,Bohinj,2016,2016-01-04,2016-12-26,15,5139,291.8855808523,valid
004,Bohinj,2017,2017-01-02,2017-12-25,5,5149,97.1062342202,valid
004,Bohinj,2018,2018-01-01,2018-12-31,18,5125,351.2195121951,valid
004,Bohinj,2019,2019-01-07,2019-12-30,16,5105,313.4182174339,valid
004,Bohinj,2020,2020-01-06,2020-12-28,30,5145,583.0903790087,valid
004,Bohinj,2021,2021-01-04,2021-12-27,13,5611,231.6877561932,valid
004,Bohinj,2022,2022-01-03,2022-12-26,43,5676,757.5757575758,valid
004,Bohinj,2023,2023-01-02,2023-12-25,13,5439,239.0145247288,valid
004,Bohinj,2024,2024-01-01,2024-12-30,19,5275,360.1895734597,valid
005,Borovnica,2016,2016-01-04,2016-12-26,8,4275,187.134502924,valid
005,Borovnica,2017,2017-01-02,2017-12-25,9,4376,205.6672760512,valid
005,Borovnica,2018,2018-01-01,2018-12-31,24,4412,543.970988214,valid
005,Borovnica,2019,2019-01-07,2019-12-30,12,4483,267.6778942672,valid
005,Borovnica,2020,2020-01-06,2020-12-28,26,4579,567.8095654073,valid
005,Borovnica,2021,2021-01-04,2021-12-27,18,4664,385.9348198971,valid
005,Borovnica,2022,2022-01-03,2022-12-26,14,4629,302.441131994,valid
005,Borovnica,2023,2023-01-02,2023-12-25,16,4681,341.8073061312,valid
005,Borovnica,2024,2024-01-01,2024-12-30,24,4726,507.8290308929,valid
006,Bovec,2016,2016-01-04,2016-12-26,8,3124,256.0819462228,valid
006,Bovec,2017,2017-01-02,2017-12-25,5,3082,162.2323166775,valid
006,Bovec,2018,2018-01-01,2018-12-31,8,3049,262.3811085602,valid
006,Bovec,2019,2019-01-07,2019-12-30,10,3048,328.0839895013,valid
006,Bovec,2020,2020-01-06,2020-12-28,9,3073,292.8734136023,valid
006,Bovec,2021,2021-01-04,2021-12-27,4,3245,123.2665639445,valid
006,Bovec,2022,2022-01-03,2022-12-26,4,3178,125.8653241032,valid
006,Bovec,2023,2023-01-02,2023-12-25,5,3044,164.2575558476,valid
006,Bovec,2024,2024-01-01,2024-12-30,17,3054,556.6470203012,valid
007,Brda,2016,2016-01-04,2016-12-26,17,5659,300.4064322318,valid
007,Brda,2017,2017-01-02,2017-12-25,21,5625,373.3333333333,valid
007,Brda,2018,2018-01-01,2018-12-31,41,5623,729.1481415614,valid
007,Brda,2019,2019-01-07,2019-12-30,16,5602,285.6122813281,valid
007,Brda,2020,2020-01-06,2020-12-28,32,5619,569.496351664,valid
007,Brda,2021,2021-01-04,2021-12-27,17,5639,301.4718921795,valid
007,Brda,2022,2022-01-03,2022-12-26,23,5632,408.3806818182,valid
007,Brda,2023,2023-01-02,2023-12-25,15,5590,268.3363148479,valid
007,Brda,2024,2024-01-01,2024-12-30,16,5573,287.0985106765,valid
008,Brezovica,2016,2016-01-04,2016-12-26,27,11974,225.4885585435,valid
008,Brezovica,2017,2017-01-02,2017-12-25,36,12092,297.717499173,valid
008,Brezovica,2018,2018-01-01,2018-12-31,56,12186,459.5437387166,valid
008,Brezovica,2019,2019-01-07,2019-12-30,20,12412,161.134386078,valid
008,Brezovica,2020,2020-01-06,2020-12-28,48,12671,378.8177728672,valid
008,Brezovica,2021,2021-01-04,2021-12-27,20,12785,156.4333202972,valid
008,Brezovica,2022,2022-01-03,2022-12-26,25,12823,194.9621773376,valid
