target_lyme_cases_next_4w,municipality_week_count,proportion,cumulative_count,cumulative_proportion,issue_period_start,issue_period_end,target_window_end_max
0,53463,0.541167301,53463,0.541167301,2016-01-04,2024-12-02,2024-12-30
1,19779,0.2002085189,73242,0.7413758199,2016-01-04,2024-12-02,2024-12-30
2,9078,0.0918900316,82320,0.8332658515,2016-01-04,2024-12-02,2024-12-30
3,4990,0.0505101628,87310,0.8837760143,2016-01-04,2024-12-02,2024-12-30
4,2968,0.0300429185,90278,0.9138189327,2016-01-04,2024-12-02,2024-12-30
5,2048,0.0207304235,92326,0.9345493562,2016-01-04,2024-12-02,2024-12-30
6,1365,0.0138169083,93691,0.9483662645,2016-01-04,2024-12-02,2024-12-30
7,920,0.0093124949,94611,0.9576787594,2016-01-04,2024-12-02,2024-12-30
8,803,0.0081281885,95414,0.9658069479,2016-01-04,2024-12-02,2024-12-30
9,502,0.0050813831,95916,0.970888331,2016-01-04,2024-12-02,2024-12-30
10,419,0.0042412341,96335,0.9751295651,2016-01-04,2024-12-02,2024-12-30
11,329,0.0033302292,96664,0.9784597943,2016-01-04,2024-12-02,2024-12-30
12,274,0.0027735039,96938,0.9812332982,2016-01-04,2024-12-02,2024-12-30
13,237,0.0023989797,97175,0.9836322779,2016-01-04,2024-12-02,2024-12-30
14,189,0.0019131104,97364,0.9855453883,2016-01-04,2024-12-02,2024-12-30
15,141,0.0014272411,97505,0.9869726294,2016-01-04,2024-12-02,2024-12-30
16,134,0.0013563851,97639,0.9883290145,2016-01-04,2024-12-02,2024-12-30
17,106,0.0010729614,97745,0.9894019759,2016-01-04,2024-12-02,2024-12-30
18,105,0.0010628391,97850,0.990464815,2016-01-04,2024-12-02,2024-12-30
19,99,0.0010021054,97949,0.9914669204,2016-01-04,2024-12-02,2024-12-30
20,62,0.0006275812,98011,0.9920945016,2016-01-04,2024-12-02,2024-12-30
21,64,0.0006478257,98075,0.9927423273,2016-01-04,2024-12-02,2024-12-30
22,69,0.0006984371,98144,0.9934407644,2016-01-04,2024-12-02,2024-12-30
23,46,0.0004656247,98190,0.9939063892,2016-01-04,2024-12-02,2024-12-30
24,42,0.0004251356,98232,0.9943315248,2016-01-04,2024-12-02,2024-12-30
25,33,0.0003340351,98265,0.99466556,2016-01-04,2024-12-02,2024-12-30
26,31,0.0003137906,98296,0.9949793506,2016-01-04,2024-12-02,2024-12-30
27,38,0.0003846465,98334,0.9953639971,2016-01-04,2024-12-02,2024-12-30
28,33,0.0003340351,98367,0.9956980322,2016-01-04,2024-12-02,2024-12-30
29,26,0.0002631792,98393,0.9959612114,2016-01-04,2024-12-02,2024-12-30
30,27,0.0002733015,98420,0.9962345129,2016-01-04,2024-12-02,2024-12-30
31,14,0.0001417119,98434,0.9963762248,2016-01-04,2024-12-02,2024-12-30
32,10,0.0001012228,98444,0.9964774476,2016-01-04,2024-12-02,2024-12-30
33,18,0.000182201,98462,0.9966596486,2016-01-04,2024-12-02,2024-12-30
34,18,0.000182201,98480,0.9968418495,2016-01-04,2024-12-02,2024-12-30
35,24,0.0002429347,98504,0.9970847842,2016-01-04,2024-12-02,2024-12-30
36,17,0.0001720787,98521,0.9972568629,2016-01-04,2024-12-02,2024-12-30
37,5,0.0000506114,98526,0.9973074743,2016-01-04,2024-12-02,2024-12-30
38,18,0.000182201,98544,0.9974896753,2016-01-04,2024-12-02,2024-12-30
39,12,0.0001214673,98556,0.9976111426,2016-01-04,2024-12-02,2024-12-30
40,6,0.0000607337,98562,0.9976718763,2016-01-04,2024-12-02,2024-12-30
41,12,0.0001214673,98574,0.9977933436,2016-01-04,2024-12-02,2024-12-30
42,9,0.0000911005,98583,0.9978844441,2016-01-04,2024-12-02,2024-12-30
43,10,0.0001012228,98593,0.9979856669,2016-01-04,2024-12-02,2024-12-30
44,6,0.0000607337,98599,0.9980464005,2016-01-04,2024-12-02,2024-12-30
45,9,0.0000911005,98608,0.998137501,2016-01-04,2024-12-02,2024-12-30
46,6,0.0000607337,98614,0.9981982347,2016-01-04,2024-12-02,2024-12-30
47,4,0.0000404891,98618,0.9982387238,2016-01-04,2024-12-02,2024-12-30
48,4,0.0000404891,98622,0.9982792129,2016-01-04,2024-12-02,2024-12-30
49,10,0.0001012228,98632,0.9983804357,2016-01-04,2024-12-02,2024-12-30
50,3,0.0000303668,98635,0.9984108025,2016-01-04,2024-12-02,2024-12-30
51,1,0.0000101223,98636,0.9984209248,2016-01-04,2024-12-02,2024-12-30
52,2,0.0000202446,98638,0.9984411693,2016-01-04,2024-12-02,2024-12-30
53,5,0.0000506114,98643,0.9984917807,2016-01-04,2024-12-02,2024-12-30
54,2,0.0000202446,98645,0.9985120253,2016-01-04,2024-12-02,2024-12-30
55,2,0.0000202446,98647,0.9985322698,2016-01-04,2024-12-02,2024-12-30
56,3,0.0000303668,98650,0.9985626367,2016-01-04,2024-12-02,2024-12-30
57,3,0.0000303668,98653,0.9985930035,2016-01-04,2024-12-02,2024-12-30
58,4,0.0000404891,98657,0.9986334926,2016-01-04,2024-12-02,2024-12-30
59,5,0.0000506114,98662,0.998684104,2016-01-04,2024-12-02,2024-12-30
60,2,0.0000202446,98664,0.9987043485,2016-01-04,2024-12-02,2024-12-30
61,3,0.0000303668,98667,0.9987347154,2016-01-04,2024-12-02,2024-12-30
62,2,0.0000202446,98669,0.9987549599,2016-01-04,2024-12-02,2024-12-30
63,5,0.0000506114,98674,0.9988055713,2016-01-04,2024-12-02,2024-12-30
64,2,0.0000202446,98676,0.9988258159,2016-01-04,2024-12-02,2024-12-30
65,6,0.0000607337,98682,0.9988865495,2016-01-04,2024-12-02,2024-12-30
66,2,0.0000202446,98684,0.9989067941,2016-01-04,2024-12-02,2024-12-30
67,2,0.0000202446,98686,0.9989270386,2016-01-04,2024-12-02,2024-12-30
68,2,0.0000202446,98688,0.9989472832,2016-01-04,2024-12-02,2024-12-30
69,2,0.0000202446,98690,0.9989675277,2016-01-04,2024-12-02,2024-12-30
70,4,0.0000404891,98694,0.9990080168,2016-01-04,2024-12-02,2024-12-30
