period,period_start,period_end,zero_case_municipality_weeks,observed_municipality_weeks,proportion_zero_cases
2016,2016-01-04,2016-12-26,8590,11024,0.7792089985
2017,2017-01-02,2017-12-25,8419,11024,0.7636973875
2018,2018-01-01,2018-12-31,7959,11236,0.7083481666
2019,2019-01-07,2019-12-30,8677,11024,0.7871008708
2020,2020-01-06,2020-12-28,7891,11024,0.7158018868
2021,2021-01-04,2021-12-27,9207,11024,0.8351777939
2022,2022-01-03,2022-12-26,8978,11024,0.8144049347
2023,2023-01-02,2023-12-25,9451,11024,0.8573113208
2024,2024-01-01,2024-12-30,9359,11236,0.8329476682
2016-2024,2016-01-04,2024-12-30,78531,99640,0.7881473304
