municipality_code,municipality_name,year,population_total_on_1_january,denominator_status
001,Ajdovščina,2016,19047,valid
001,Ajdovščina,2017,19093,valid
001,Ajdovščina,2018,19130,valid
001,Ajdovščina,2019,19249,valid
001,Ajdovščina,2020,19418,valid
001,Ajdovščina,2021,19704,valid
001,Ajdovščina,2022,19727,valid
001,Ajdovščina,2023,19811,valid
001,Ajdovščina,2024,19891,valid
002,Beltinci,2016,8261,valid
002,Beltinci,2017,8233,valid
002,Beltinci,2018,8183,valid
002,Beltinci,2019,8104,valid
002,Beltinci,2020,8059,valid
002,Beltinci,2021,8068,valid
002,Beltinci,2022,8104,valid
002,Beltinci,2023,8082,valid
002,Beltinci,2024,8071,valid
003,Bled,2016,8035,valid
003,Bled,2017,7981,valid
003,Bled,2018,7873,valid
003,Bled,2019,7835,valid
003,Bled,2020,7868,valid
003,Bled,2021,8217,valid
003,Bled,2022,8250,valid
003,Bled,2023,8190,valid
003,Bled,2024,8157,valid
004,Bohinj,2016,5139,valid
004,Bohinj,2017,5149,valid
004,Bohinj,2018,5125,valid
004,Bohinj,2019,5105,valid
004,Bohinj,2020,5145,valid
004,Bohinj,2021,5611,valid
004,Bohinj,2022,5676,valid
004,Bohinj,2023,5439,valid
004,Bohinj,2024,5275,valid
005,Borovnica,2016,4275,valid
005,Borovnica,2017,4376,valid
005,Borovnica,2018,4412,valid
005,Borovnica,2019,4483,valid
005,Borovnica,2020,4579,valid
005,Borovnica,2021,4664,valid
005,Borovnica,2022,4629,valid
005,Borovnica,2023,4681,valid
005,Borovnica,2024,4726,valid
006,Bovec,2016,3124,valid
006,Bovec,2017,3082,valid
006,Bovec,2018,3049,valid
006,Bovec,2019,3048,valid
006,Bovec,2020,3073,valid
006,Bovec,2021,3245,valid
006,Bovec,2022,3178,valid
006,Bovec,2023,3044,valid
006,Bovec,2024,3054,valid
007,Brda,2016,5659,valid
007,Brda,2017,5625,valid
007,Brda,2018,5623,valid
007,Brda,2019,5602,valid
007,Brda,2020,5619,valid
007,Brda,2021,5639,valid
007,Brda,2022,5632,valid
007,Brda,2023,5590,valid
007,Brda,2024,5573,valid
008,Brezovica,2016,11974,valid
008,Brezovica,2017,12092,valid
008,Brezovica,2018,12186,valid
008,Brezovica,2019,12412,valid
008,Brezovica,2020,12671,valid
008,Brezovica,2021,12785,valid
008,Brezovica,2022,12823,valid
008,Brezovica,2023,12838,valid
008,Brezovica,2024,13004,valid
009,Brežice,2016,24254,valid
009,Brežice,2017,24204,valid
009,Brežice,2018,24086,valid
009,Brežice,2019,24084,valid
009,Brežice,2020,24051,valid
009,Brežice,2021,24419,valid
009,Brežice,2022,24370,valid
009,Brežice,2023,24417,valid
009,Brežice,2024,24450,valid
010,Tišina,2016,4039,valid
010,Tišina,2017,4012,valid
010,Tišina,2018,3976,valid
010,Tišina,2019,3952,valid
010,Tišina,2020,3970,valid
010,Tišina,2021,3965,valid
010,Tišina,2022,3941,valid
010,Tišina,2023,3968,valid
010,Tišina,2024,3948,valid
011,Celje,2016,49077,valid
011,Celje,2017,49380,valid
011,Celje,2018,49377,valid
011,Celje,2019,49473,valid
011,Celje,2020,49540,valid
011,Celje,2021,49007,valid
011,Celje,2022,48679,valid
011,Celje,2023,48776,valid
011,Celje,2024,49289,valid
012,Cerklje na Gorenjskem,2016,7506,valid
012,Cerklje na Gorenjskem,2017,7569,valid
012,Cerklje na Gorenjskem,2018,7619,valid
012,Cerklje na Gorenjskem,2019,7632,valid
012,Cerklje na Gorenjskem,2020,7769,valid
012,Cerklje na Gorenjskem,2021,7859,valid
012,Cerklje na Gorenjskem,2022,7901,valid
012,Cerklje na Gorenjskem,2023,7854,valid
012,Cerklje na Gorenjskem,2024,7825,valid
013,Cerknica,2016,11402,valid
013,Cerknica,2017,11494,valid
013,Cerknica,2018,11491,valid
013,Cerknica,2019,11554,valid
013,Cerknica,2020,11580,valid
