municipality_code,municipality_name,total_kme_cases,n_observed_weeks,n_nonzero_weeks,fraction_zero_weeks
001,Ajdovščina,7,574,7,0.9878048780487805
002,Beltinci,2,574,2,0.9965156794425087
003,Bled,11,574,9,0.9843205574912892
004,Bohinj,7,574,7,0.9878048780487805
005,Borovnica,5,574,5,0.9912891986062717
006,Bovec,1,574,1,0.9982578397212544
007,Brda,0,574,0,1.0
008,Brezovica,5,574,5,0.9912891986062717
009,Brežice,1,574,1,0.9982578397212544
010,Tišina,3,574,3,0.9947735191637631
011,Celje,8,574,8,0.9860627177700348
012,Cerklje na Gorenjskem,6,574,6,0.9895470383275261
013,Cerknica,24,574,23,0.9599303135888502
014,Cerkno,11,574,10,0.9825783972125436
015,Črenšovci,2,574,2,0.9965156794425087
016,Črna na Koroškem,1,574,1,0.9982578397212544
017,Črnomelj,4,574,4,0.9930313588850174
018,Destrnik,0,574,0,1.0
019,Divača,2,574,2,0.9965156794425087
020,Dobrepolje,13,574,12,0.9790940766550522
021,Dobrova-Polhov Gradec,22,574,20,0.9651567944250871
022,Dol pri Ljubljani,2,574,2,0.9965156794425087
023,Domžale,15,574,15,0.9738675958188153
024,Dornava,0,574,0,1.0
025,Dravograd,19,574,16,0.9721254355400697
026,Duplek,1,574,1,0.9982578397212544
027,Gorenja vas-Poljane,29,574,26,0.9547038327526133
028,Gorišnica,1,574,1,0.9982578397212544
029,Gornja Radgona,2,574,2,0.9965156794425087
030,Gornji Grad,1,574,1,0.9982578397212544
031,Gornji Petrovci,0,574,0,1.0
032,Grosuplje,12,574,10,0.9825783972125436
033,Šalovci,2,574,2,0.9965156794425087
034,Hrastnik,0,574,0,1.0
035,Hrpelje-Kozina,0,574,0,1.0
036,Idrija,15,574,14,0.975609756097561
037,Ig,5,574,5,0.9912891986062717
038,Ilirska Bistrica,9,574,9,0.9843205574912892
039,Ivančna Gorica,11,574,10,0.9825783972125436
040,Izola,3,574,3,0.9947735191637631
041,Jesenice,19,574,18,0.9686411149825784
042,Juršinci,0,574,0,1.0
043,Kamnik,42,574,34,0.9407665505226481
044,Kanal,0,574,0,1.0
045,Kidričevo,1,574,1,0.9982578397212544
046,Kobarid,1,574,1,0.9982578397212544
047,Kobilje,0,574,0,1.0
048,Kočevje,16,574,15,0.9738675958188153
049,Komen,0,574,0,1.0
050,Koper,3,574,3,0.9947735191637631
051,Kozje,0,574,0,1.0
052,Kranj,51,574,42,0.926829268292683
053,Kranjska Gora,2,574,2,0.9965156794425087
054,Krško,1,574,1,0.9982578397212544
055,Kungota,0,574,0,1.0
056,Kuzma,0,574,0,1.0
057,Laško,6,574,6,0.9895470383275261
058,Lenart,4,574,4,0.9930313588850174
059,Lendava,2,574,2,0.9965156794425087
060,Litija,4,574,4,0.9930313588850174
061,Ljubljana,83,574,68,0.8815331010452961
062,Ljubno,1,574,1,0.9982578397212544
063,Ljutomer,4,574,4,0.9930313588850174
064,Logatec,29,574,29,0.9494773519163763
065,Loška dolina,17,574,15,0.9738675958188153
066,Loški Potok,8,574,8,0.9860627177700348
067,Luče,6,574,6,0.9895470383275261
068,Lukovica,5,574,5,0.9912891986062717
069,Majšperk,0,574,0,1.0
070,Maribor,29,574,27,0.9529616724738676
071,Medvode,21,574,19,0.9668989547038328
072,Mengeš,3,574,3,0.9947735191637631
073,Metlika,1,574,1,0.9982578397212544
074,Mežica,3,574,3,0.9947735191637631
075,Miren-Kostanjevica,0,574,0,1.0
076,Mislinja,15,574,15,0.9738675958188153
077,Moravče,4,574,4,0.9930313588850174
078,Moravske Toplice,0,574,0,1.0
079,Mozirje,1,574,1,0.9982578397212544
080,Murska Sobota,7,574,7,0.9878048780487805
081,Muta,2,574,2,0.9965156794425087
082,Naklo,0,574,0,1.0
083,Nazarje,1,574,1,0.9982578397212544
084,Nova Gorica,6,574,6,0.9895470383275261
085,Novo mesto,1,574,1,0.9982578397212544
086,Odranci,0,574,0,1.0
087,Ormož,5,574,5,0.9912891986062717
088,Osilnica,1,574,1,0.9982578397212544
089,Pesnica,0,574,0,1.0
090,Piran,0,574,0,1.0
091,Pivka,6,574,6,0.9895470383275261
092,Podčetrtek,2,574,2,0.9965156794425087
093,Podvelka,6,574,6,0.9895470383275261
094,Postojna,19,574,17,0.9703832752613241
095,Preddvor,10,574,10,0.9825783972125436
096,Ptuj,2,574,2,0.9965156794425087
097,Puconci,1,574,1,0.9982578397212544
098,Rače-Fram,4,574,4,0.9930313588850174
099,Radeče,0,574,0,1.0
100,Radenci,4,574,4,0.9930313588850174
101,Radlje ob Dravi,1,574,1,0.9982578397212544
102,Radovljica,18,574,18,0.9686411149825784
103,Ravne na Koroškem,12,574,11,0.980836236933798
104,Ribnica,20,574,18,0.9686411149825784
105,Rogašovci,0,574,0,1.0
106,Rogaška Slatina,1,574,1,0.9982578397212544
107,Rogatec,0,574,0,1.0
108,Ruše,3,574,3,0.9947735191637631
109,Semič,1,574,1,0.9982578397212544
110,Sevnica,5,574,5,0.9912891986062717
111,Sežana,0,574,0,1.0
112,Slovenj Gradec,39,574,35,0.9390243902439024
113,Slovenska Bistrica,24,574,22,0.9616724738675958
114,Slovenske Konjice,2,574,2,0.9965156794425087
115,Starše,3,574,3,0.9947735191637631
116,Sveti Jurij ob Ščavnici,2,574,2,0.9965156794425087
117,Šenčur,9,574,9,0.9843205574912892
118,Šentilj,4,574,4,0.9930313588850174
119,Šentjernej,2,574,2,0.9965156794425087
