statistical_region_code,statistical_region_name,total_kme_cases,n_observed_weeks,n_nonzero_weeks,fraction_zero_weeks
01,POMURSKA STATISTIČNA REGIJA,39,574,37,0.9355400696864111
02,PODRAVSKA STATISTIČNA REGIJA,106,574,90,0.8432055749128919
03,KOROŠKA STATISTIČNA REGIJA,107,574,79,0.8623693379790941
04,SAVINJSKA STATISTIČNA REGIJA,78,574,59,0.8972125435540069
05,ZASAVSKA STATISTIČNA REGIJA,13,574,13,0.9773519163763066
06,POSAVSKA STATISTIČNA REGIJA,7,574,7,0.9878048780487805
07,JUGOVZHODNA SLOVENIJA,73,574,57,0.9006968641114983
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,317,574,177,0.6916376306620209
09,GORENJSKA STATISTIČNA REGIJA,236,574,142,0.7526132404181185
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,85,574,66,0.8850174216027874
11,GORIŠKA STATISTIČNA REGIJA,51,574,46,0.9198606271777003
12,OBALNO-KRAŠKA STATISTIČNA REGIJA,8,574,8,0.9860627177700348
