analysis_level,horizon_weeks,window_case_count,n_rolling_windows,fraction_of_rolling_windows
municipality,4,0,117335,0.9692941876218485
municipality,4,1,3155,0.026063179460066747
municipality,4,2,433,0.0035769751842183524
municipality,4,3,81,0.0006691339259161352
municipality,4,4,30,0.00024782737996893896
municipality,4,5,14,0.00011565277731883819
municipality,4,6,4,3.30436506625252e-05
municipality,8,0,113466,0.9439452930018968
municipality,8,1,5323,0.04428305214468736
municipality,8,2,966,0.00803633822501747
municipality,8,3,270,0.0022461814914645105
municipality,8,4,98,0.000815280689494526
municipality,8,5,43,0.00035772520049249607
municipality,8,6,10,8.319190709127816e-05
municipality,8,7,14,0.00011646866992778943
municipality,8,8,7,5.8234334963894714e-05
municipality,8,9,4,3.327676283651126e-05
municipality,8,10,2,1.663838141825563e-05
municipality,8,11,1,8.319190709127816e-06
municipality,12,0,109882,0.920624015550119
municipality,12,1,7168,0.06005563189114917
municipality,12,2,1464,0.01226582660276819
municipality,12,3,478,0.004004825898991253
municipality,12,4,187,0.001566741512785281
municipality,12,5,95,0.000795938201682362
municipality,12,6,23,0.00019270082777572974
municipality,12,7,15,0.00012567445289721505
municipality,12,8,12,0.00010053956231777204
municipality,12,9,15,0.00012567445289721505
municipality,12,10,8,6.70263748785147e-05
municipality,12,11,5,4.189148429907169e-05
municipality,12,12,3,2.513489057944301e-05
municipality,12,13,1,8.378296859814337e-06
statistical_region,4,0,4880,0.7122008172796264
statistical_region,4,1,1078,0.15732632807939287
statistical_region,4,2,375,0.05472854640980736
statistical_region,4,3,178,0.025977816695855225
statistical_region,4,4,121,0.017659077641564505
statistical_region,4,5,73,0.010653823701109165
statistical_region,4,6,39,0.005691768826619965
statistical_region,4,7,26,0.0037945125510799767
statistical_region,4,8,24,0.0035026269702276708
statistical_region,4,9,9,0.0013134851138353765
statistical_region,4,10,14,0.0020431990659661413
statistical_region,4,11,12,0.0017513134851138354
statistical_region,4,12,8,0.0011675423234092236
statistical_region,4,13,7,0.0010215995329830706
statistical_region,4,14,3,0.00043782837127845885
statistical_region,4,15,4,0.0005837711617046118
statistical_region,4,17,1,0.00014594279042615295
statistical_region,8,0,3968,0.5831863609641388
statistical_region,8,1,1192,0.17519106407995297
statistical_region,8,2,631,0.09273956496178719
statistical_region,8,3,274,0.04027042915931805
statistical_region,8,4,178,0.026161081716637273
statistical_region,8,5,125,0.018371546149323927
statistical_region,8,6,105,0.015432098765432098
statistical_region,8,7,73,0.010728982951205173
statistical_region,8,8,48,0.007054673721340388
statistical_region,8,9,42,0.006172839506172839
statistical_region,8,10,37,0.005437977660199883
statistical_region,8,11,23,0.0033803644914756027
statistical_region,8,12,15,0.002204585537918871
statistical_region,8,13,13,0.0019106407995296885
statistical_region,8,14,13,0.0019106407995296885
statistical_region,8,15,11,0.0016166960611405056
statistical_region,8,16,10,0.0014697236919459142
statistical_region,8,17,6,0.0008818342151675485
statistical_region,8,18,6,0.0008818342151675485
statistical_region,8,19,6,0.0008818342151675485
statistical_region,8,20,6,0.0008818342151675485
statistical_region,8,21,5,0.0007348618459729571
statistical_region,8,22,4,0.0005878894767783657
statistical_region,8,23,3,0.0004409171075837742
statistical_region,8,24,5,0.0007348618459729571
statistical_region,8,25,2,0.00029394473838918284
statistical_region,8,27,2,0.00029394473838918284
statistical_region,8,28,1,0.00014697236919459142
statistical_region,12,0,3300,0.48845470692717585
statistical_region,12,1,1229,0.18191237418590883
statistical_region,12,2,723,0.10701598579040852
statistical_region,12,3,383,0.05669034931912374
statistical_region,12,4,261,0.038632326820603906
statistical_region,12,5,154,0.022794552989934873
statistical_region,12,6,138,0.020426287744227355
statistical_region,12,7,111,0.016429840142095916
statistical_region,12,8,66,0.009769094138543518
statistical_region,12,9,67,0.009917110716400238
statistical_region,12,10,44,0.006512729425695678
statistical_region,12,11,52,0.0076968620485494375
statistical_region,12,12,41,0.006068679692125518
statistical_region,12,13,29,0.004292480757844878
statistical_region,12,14,25,0.003700414446417999
statistical_region,12,15,16,0.002368265245707519
statistical_region,12,16,18,0.0026642984014209592
statistical_region,12,17,19,0.002812314979277679
statistical_region,12,18,6,0.0008880994671403197
statistical_region,12,19,8,0.0011841326228537595
statistical_region,12,20,6,0.0008880994671403197
statistical_region,12,21,10,0.0014801657785671995
statistical_region,12,22,6,0.0008880994671403197
statistical_region,12,23,4,0.0005920663114268798
statistical_region,12,24,3,0.0004440497335701599
statistical_region,12,25,4,0.0005920663114268798
statistical_region,12,26,2,0.0002960331557134399
statistical_region,12,27,8,0.0011841326228537595
statistical_region,12,28,4,0.0005920663114268798
statistical_region,12,29,3,0.0004440497335701599
statistical_region,12,30,4,0.0005920663114268798
statistical_region,12,31,4,0.0005920663114268798
statistical_region,12,32,6,0.0008880994671403197
statistical_region,12,33,2,0.0002960331557134399
