statistical_region_code,statistical_region_name,issue_week,target_window_start,target_window_end,target_kme_cases_next_8w,population_exposure,population_year_min,population_year_max,offset_log_population_per_100000,seasonal_sin_annual,seasonal_cos_annual,past_8w_kme_cases_for_persistence_baseline,latest_past_case_week_used,past_cases_used_by_selected_model,weather_required_by_selected_model
01,POMURSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,117133,2014,2014,0.15813985533292868,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,323328,2014,2014,1.1734971018598253,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,71546,2014,2014,-0.33482958650993744,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,254131,2014,2014,0.9326796961096366,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,1,58037,2014,2014,-0.5440894477986963,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,75680,2014,2014,-0.2786562612444685,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
07,JUGOVZHODNA SLOVENIJA,2015-02-23,2015-03-02,2015-04-20,0,142405,2014,2014,0.3535049247329101,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,531260,2014,2014,1.6700813576027864,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
09,GORENJSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,203894,2014,2014,0.7124300649700509,0.7909456567567772,0.6118864012687243,1,2015-02-16,false,false
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,52449,2014,2014,-0.6453289171044698,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
11,GORIŠKA STATISTIČNA REGIJA,2015-02-23,2015-03-02,2015-04-20,0,118374,2014,2014,0.16867891775279603,0.7909456567567772,0.6118864012687243,0,2015-02-16,false,false
01,POMURSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,117133,2014,2014,0.15813985533292868,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,323328,2014,2014,1.1734971018598253,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,71546,2014,2014,-0.33482958650993744,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,254131,2014,2014,0.9326796961096366,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,1,58037,2014,2014,-0.5440894477986963,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,75680,2014,2014,-0.2786562612444685,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
07,JUGOVZHODNA SLOVENIJA,2015-03-02,2015-03-09,2015-04-27,0,142405,2014,2014,0.3535049247329101,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,531260,2014,2014,1.6700813576027864,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
09,GORENJSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,203894,2014,2014,0.7124300649700509,0.8587639582758029,0.5123714121284237,1,2015-02-23,false,false
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,52449,2014,2014,-0.6453289171044698,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
11,GORIŠKA STATISTIČNA REGIJA,2015-03-02,2015-03-09,2015-04-27,0,118374,2014,2014,0.16867891775279603,0.8587639582758029,0.5123714121284237,0,2015-02-23,false,false
01,POMURSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,117133,2014,2014,0.15813985533292868,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,323328,2014,2014,1.1734971018598253,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,71546,2014,2014,-0.33482958650993744,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,254131,2014,2014,0.9326796961096366,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,1,58037,2014,2014,-0.5440894477986963,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,75680,2014,2014,-0.2786562612444685,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
07,JUGOVZHODNA SLOVENIJA,2015-03-09,2015-03-16,2015-05-04,0,142405,2014,2014,0.3535049247329101,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,531260,2014,2014,1.6700813576027864,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
09,GORENJSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,203894,2014,2014,0.7124300649700509,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,52449,2014,2014,-0.6453289171044698,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
11,GORIŠKA STATISTIČNA REGIJA,2015-03-09,2015-03-16,2015-05-04,0,118374,2014,2014,0.16867891775279603,0.9141279881853337,0.40542572835999735,0,2015-03-02,false,false
01,POMURSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,117133,2014,2014,0.15813985533292868,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,323328,2014,2014,1.1734971018598253,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,71546,2014,2014,-0.33482958650993744,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,254131,2014,2014,0.9326796961096366,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,1,58037,2014,2014,-0.5440894477986963,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,75680,2014,2014,-0.2786562612444685,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
07,JUGOVZHODNA SLOVENIJA,2015-03-16,2015-03-23,2015-05-11,0,142405,2014,2014,0.3535049247329101,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,531260,2014,2014,1.6700813576027864,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
09,GORENJSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,203894,2014,2014,0.7124300649700509,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,52449,2014,2014,-0.6453289171044698,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
11,GORIŠKA STATISTIČNA REGIJA,2015-03-16,2015-03-23,2015-05-11,0,118374,2014,2014,0.16867891775279603,0.9562348265919056,0.29260033563334836,0,2015-03-09,false,false
01,POMURSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,1,117133,2014,2014,0.15813985533292868,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,0,323328,2014,2014,1.1734971018598253,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,0,71546,2014,2014,-0.33482958650993744,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,0,254131,2014,2014,0.9326796961096366,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,1,58037,2014,2014,-0.5440894477986963,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,0,75680,2014,2014,-0.2786562612444685,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
07,JUGOVZHODNA SLOVENIJA,2015-03-23,2015-03-30,2015-05-18,0,142405,2014,2014,0.3535049247329101,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,3,531260,2014,2014,1.6700813576027864,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
09,GORENJSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,0,203894,2014,2014,0.7124300649700509,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,0,52449,2014,2014,-0.6453289171044698,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
11,GORIŠKA STATISTIČNA REGIJA,2015-03-23,2015-03-30,2015-05-18,0,118374,2014,2014,0.16867891775279603,0.9844738167520922,0.1755314904214282,0,2015-03-16,false,false
01,POMURSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,1,117133,2014,2014,0.15813985533292868,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,0,323328,2014,2014,1.1734971018598253,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,0,71546,2014,2014,-0.33482958650993744,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,0,254131,2014,2014,0.9326796961096366,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,1,58037,2014,2014,-0.5440894477986963,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,0,75680,2014,2014,-0.2786562612444685,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
07,JUGOVZHODNA SLOVENIJA,2015-03-30,2015-04-06,2015-05-25,0,142405,2014,2014,0.3535049247329101,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,3,531260,2014,2014,1.6700813576027864,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
09,GORENJSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,0,203894,2014,2014,0.7124300649700509,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,0,52449,2014,2014,-0.6453289171044698,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
11,GORIŠKA STATISTIČNA REGIJA,2015-03-30,2015-04-06,2015-05-25,0,118374,2014,2014,0.16867891775279603,0.9984354211555643,0.055916990100603484,0,2015-03-23,false,false
01,POMURSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,1,117133,2014,2014,0.15813985533292868,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,0,323328,2014,2014,1.1734971018598253,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,0,71546,2014,2014,-0.33482958650993744,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,0,254131,2014,2014,0.9326796961096366,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,1,58037,2014,2014,-0.5440894477986963,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,0,75680,2014,2014,-0.2786562612444685,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
07,JUGOVZHODNA SLOVENIJA,2015-04-06,2015-04-13,2015-06-01,0,142405,2014,2014,0.3535049247329101,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
08,OSREDNJESLOVENSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,5,531260,2014,2014,1.6700813576027864,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
09,GORENJSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,2,203894,2014,2014,0.7124300649700509,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
10,PRIMORSKO-NOTRANJSKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,0,52449,2014,2014,-0.6453289171044698,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
11,GORIŠKA STATISTIČNA REGIJA,2015-04-06,2015-04-13,2015-06-01,1,118374,2014,2014,0.16867891775279603,0.9979171608653922,-0.06450844944931623,0,2015-03-30,false,false
01,POMURSKA STATISTIČNA REGIJA,2015-04-13,2015-04-20,2015-06-08,1,117133,2014,2014,0.15813985533292868,0.9829265519799822,-0.18399835165768005,0,2015-04-06,false,false
02,PODRAVSKA STATISTIČNA REGIJA,2015-04-13,2015-04-20,2015-06-08,1,323328,2014,2014,1.1734971018598253,0.9829265519799822,-0.18399835165768005,0,2015-04-06,false,false
03,KOROŠKA STATISTIČNA REGIJA,2015-04-13,2015-04-20,2015-06-08,0,71546,2014,2014,-0.33482958650993744,0.9829265519799822,-0.18399835165768005,0,2015-04-06,false,false
04,SAVINJSKA STATISTIČNA REGIJA,2015-04-13,2015-04-20,2015-06-08,0,254131,2014,2014,0.9326796961096366,0.9829265519799822,-0.18399835165768005,0,2015-04-06,false,false
05,ZASAVSKA STATISTIČNA REGIJA,2015-04-13,2015-04-20,2015-06-08,1,58037,2014,2014,-0.5440894477986963,0.9829265519799822,-0.18399835165768005,0,2015-04-06,false,false
06,POSAVSKA STATISTIČNA REGIJA,2015-04-13,2015-04-20,2015-06-08,0,75680,2014,2014,-0.2786562612444685,0.9829265519799822,-0.18399835165768005,0,2015-04-06,false,false
