municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
001,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
002,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
003,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
004,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
005,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
006,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
007,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
008,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
009,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
010,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
011,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
012,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
013,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
014,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
015,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
016,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
017,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
018,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
019,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
020,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
021,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
022,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
023,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
024,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
025,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
026,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
027,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
028,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
029,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
030,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
031,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
032,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
033,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
034,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
035,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
036,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
037,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
038,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
039,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
040,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
041,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
042,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
043,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
044,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
045,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
046,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
047,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
048,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
049,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
050,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
051,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
052,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
053,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
054,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
055,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
056,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
057,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
058,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
059,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
060,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
061,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
062,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
063,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
064,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
065,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
066,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
067,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
068,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
069,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
070,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
071,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
072,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
073,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
074,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
075,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
076,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
077,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
078,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
079,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
080,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
081,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
082,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
083,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
084,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
085,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
086,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
087,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
088,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
089,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
090,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
091,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
092,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
093,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
094,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
095,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
096,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
097,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
098,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
099,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
100,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
101,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
102,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
103,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
104,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
105,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
106,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
107,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
108,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
109,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
110,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
111,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
112,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
113,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
114,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
