fold_id,model_id,model_name,formula,family,link,fit_method,n_train_fold_rows,n_train_used,n_train_feature_missing,n_validation_fold_rows,n_validation_available,n_parameters,design_matrix_rank,municipality_reference,n_municipality_levels,offset,offset_coefficient,population_exposure_min,population_exposure_max,population_year_lag_min,population_year_lag_max,train_target_end_max,validation_start,converged,iterations,warning_count,warning_messages,deviance,pearson_chi2
fold_01_validate_2017,model_s1_seasonality_offset,S1 seasonality with population exposure,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),Poisson,log,IRLS,10176,10176,0,10176,10176,3,3,,0,log(population),1,367,287218,1,1,2016-12-26,2017-01-02,true,6,0,[],14320.5046880155,18581.876035444
fold_01_validate_2017,model_s2_seasonality_municipality_offset,S2 seasonality and municipality fixed effects with population exposure,"target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + C(municipality_code, Treatment(reference=001)) + offset(log(population))",Poisson,log,IRLS,10176,10176,0,10176,10176,214,214,001,212,log(population),1,367,287218,1,1,2016-12-26,2017-01-02,true,25,0,[],10141.7205349293,11252.723327721
fold_01_validate_2017,model_s3_seasonality_municipality_past_incidence_offset,"S3 seasonality, municipality fixed effects and past incidence with population exposure","target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + C(municipality_code, Treatment(reference=001)) + past_4w_lyme_incidence_per_100000 + offset(log(population))",Poisson,log,IRLS,10176,10176,0,10176,10176,215,215,001,212,log(population),1,367,287218,1,1,2016-12-26,2017-01-02,true,25,0,[],10062.3190435255,11217.8743259963
fold_02_validate_2018,model_s1_seasonality_offset,S1 seasonality with population exposure,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),Poisson,log,IRLS,21200,21200,0,10388,10388,3,3,,0,log(population),1,367,288307,1,1,2017-12-25,2018-01-01,true,6,0,[],31417.5167891733,39801.7876055573
fold_02_validate_2018,model_s2_seasonality_municipality_offset,S2 seasonality and municipality fixed effects with population exposure,"target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + C(municipality_code, Treatment(reference=001)) + offset(log(population))",Poisson,log,IRLS,21200,21200,0,10388,10388,214,214,001,212,log(population),1,367,288307,1,1,2017-12-25,2018-01-01,true,25,0,[],23781.5967143346,26096.7264146883
fold_02_validate_2018,model_s3_seasonality_municipality_past_incidence_offset,"S3 seasonality, municipality fixed effects and past incidence with population exposure","target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + C(municipality_code, Treatment(reference=001)) + past_4w_lyme_incidence_per_100000 + offset(log(population))",Poisson,log,IRLS,21200,21200,0,10388,10388,215,215,001,212,log(population),1,367,288307,1,1,2017-12-25,2018-01-01,true,25,0,[],23756.1028467389,26121.3122682934
fold_03_validate_2019,model_s1_seasonality_offset,S1 seasonality with population exposure,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),Poisson,log,IRLS,32436,32436,0,10176,10176,3,3,,0,log(population),1,367,288919,1,1,2018-12-31,2019-01-07,true,6,0,[],58501.7945750846,76585.8561007228
fold_03_validate_2019,model_s2_seasonality_municipality_offset,S2 seasonality and municipality fixed effects with population exposure,"target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + C(municipality_code, Treatment(reference=001)) + offset(log(population))",Poisson,log,IRLS,32436,32436,0,10176,10176,214,214,001,212,log(population),1,367,288919,1,1,2018-12-31,2019-01-07,true,8,0,[],44084.4285813138,49265.2853469613
fold_03_validate_2019,model_s3_seasonality_municipality_past_incidence_offset,"S3 seasonality, municipality fixed effects and past incidence with population exposure","target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + C(municipality_code, Treatment(reference=001)) + past_4w_lyme_incidence_per_100000 + offset(log(population))",Poisson,log,IRLS,32436,32436,0,10176,10176,215,215,001,212,log(population),1,367,288919,1,1,2018-12-31,2019-01-07,true,8,0,[],43536.3334774042,48493.4958320644
fold_04_validate_2020,model_s1_seasonality_offset,S1 seasonality with population exposure,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),Poisson,log,IRLS,43460,43460,0,10176,10176,3,3,,0,log(population),1,362,289518,1,1,2019-12-30,2020-01-06,true,6,0,[],76537.7582204431,100906.129506358
