fold_id,candidate_id,candidate_name,formula,n_train,n_validation,n_parameters,design_matrix_rank,offset,offset_coefficient,train_target_end_max,validation_start,population_exposure_min,population_exposure_max,population_year_lag_min,population_year_lag_max,area_min_km2,area_max_km2,converged,iterations,warning_count,warning_messages,deviance,pearson_chi2
fold_01_validate_2017,statistical_baseline_s1,Phase 9 S1 unchanged,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),10176,10176,3,3,log(population),1,2016-12-26,2017-01-02,367,287218,1,1,,,true,6,0,[],14320.5046880155,18581.876035444
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography,Phase 9 S1 plus municipality area,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + municipality_area_km2 + offset(log(population)),10176,10176,4,4,log(population),1,2016-12-26,2017-01-02,367,287218,1,1,6.92754465815627,555.721228163394,true,6,0,[],14320.474240107,18591.2069064732
fold_02_validate_2018,statistical_baseline_s1,Phase 9 S1 unchanged,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),21200,10388,3,3,log(population),1,2017-12-25,2018-01-01,367,288307,1,1,,,true,6,0,[],31417.5167891733,39801.7876055573
fold_02_validate_2018,statistical_baseline_s1_plus_static_geography,Phase 9 S1 plus municipality area,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + municipality_area_km2 + offset(log(population)),21200,10388,4,4,log(population),1,2017-12-25,2018-01-01,367,288307,1,1,6.92754465815627,555.721228163394,true,6,0,[],31389.1805747316,39364.9393808975
fold_03_validate_2019,statistical_baseline_s1,Phase 9 S1 unchanged,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),32436,10176,3,3,log(population),1,2018-12-31,2019-01-07,367,288919,1,1,,,true,6,0,[],58501.7945750846,76585.8561007228
fold_03_validate_2019,statistical_baseline_s1_plus_static_geography,Phase 9 S1 plus municipality area,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + municipality_area_km2 + offset(log(population)),32436,10176,4,4,log(population),1,2018-12-31,2019-01-07,367,288919,1,1,6.92754465815627,555.721228163394,true,6,0,[],58398.8865546937,75431.8319822484
fold_04_validate_2020,statistical_baseline_s1,Phase 9 S1 unchanged,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),43460,10176,3,3,log(population),1,2019-12-30,2020-01-06,362,289518,1,1,,,true,6,0,[],76537.7582204431,100906.129506358
fold_04_validate_2020,statistical_baseline_s1_plus_static_geography,Phase 9 S1 plus municipality area,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + municipality_area_km2 + offset(log(population)),43460,10176,4,4,log(population),1,2019-12-30,2020-01-06,362,289518,1,1,6.92754465815627,555.721228163394,true,6,0,[],76384.4617515468,99215.6055662514
fold_05_validate_2021,statistical_baseline_s1,Phase 9 S1 unchanged,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + offset(log(population)),54484,10176,3,3,log(population),1,2020-12-28,2021-01-04,354,292988,1,1,,,true,6,0,[],104279.098849364,140720.097242624
fold_05_validate_2021,statistical_baseline_s1_plus_static_geography,Phase 9 S1 plus municipality area,target_lyme_cases_next_4w ~ 1 + seasonal_sin_annual + seasonal_cos_annual + municipality_area_km2 + offset(log(population)),54484,10176,4,4,log(population),1,2020-12-28,2021-01-04,354,292988,1,1,6.92754465815627,555.721228163394,true,6,0,[],104096.124305171,138672.624655447
