statistical_region_code,issue_week,target_window_start,target_window_end,target_kme_cases_next_8w,target_status,target_training_eligible
01,2014-12-29,2015-01-05,2015-02-23,0,complete,true
01,2015-01-05,2015-01-12,2015-03-02,0,complete,true
01,2015-01-12,2015-01-19,2015-03-09,0,complete,true
01,2015-01-19,2015-01-26,2015-03-16,0,complete,true
01,2015-01-26,2015-02-02,2015-03-23,0,complete,true
01,2015-02-02,2015-02-09,2015-03-30,0,complete,true
01,2015-02-09,2015-02-16,2015-04-06,0,complete,true
01,2015-02-16,2015-02-23,2015-04-13,0,complete,true
01,2015-02-23,2015-03-02,2015-04-20,0,complete,true
01,2015-03-02,2015-03-09,2015-04-27,0,complete,true
01,2015-03-09,2015-03-16,2015-05-04,0,complete,true
01,2015-03-16,2015-03-23,2015-05-11,0,complete,true
01,2015-03-23,2015-03-30,2015-05-18,1,complete,true
01,2015-03-30,2015-04-06,2015-05-25,1,complete,true
01,2015-04-06,2015-04-13,2015-06-01,1,complete,true
01,2015-04-13,2015-04-20,2015-06-08,1,complete,true
01,2015-04-20,2015-04-27,2015-06-15,2,complete,true
01,2015-04-27,2015-05-04,2015-06-22,2,complete,true
01,2015-05-04,2015-05-11,2015-06-29,2,complete,true
01,2015-05-11,2015-05-18,2015-07-06,2,complete,true
01,2015-05-18,2015-05-25,2015-07-13,1,complete,true
01,2015-05-25,2015-06-01,2015-07-20,1,complete,true
01,2015-06-01,2015-06-08,2015-07-27,1,complete,true
01,2015-06-08,2015-06-15,2015-08-03,1,complete,true
01,2015-06-15,2015-06-22,2015-08-10,0,complete,true
01,2015-06-22,2015-06-29,2015-08-17,0,complete,true
01,2015-06-29,2015-07-06,2015-08-24,0,complete,true
01,2015-07-06,2015-07-13,2015-08-31,0,complete,true
01,2015-07-13,2015-07-20,2015-09-07,0,complete,true
01,2015-07-20,2015-07-27,2015-09-14,0,complete,true
01,2015-07-27,2015-08-03,2015-09-21,0,complete,true
01,2015-08-03,2015-08-10,2015-09-28,0,complete,true
01,2015-08-10,2015-08-17,2015-10-05,0,complete,true
01,2015-08-17,2015-08-24,2015-10-12,0,complete,true
01,2015-08-24,2015-08-31,2015-10-19,0,complete,true
01,2015-08-31,2015-09-07,2015-10-26,0,complete,true
01,2015-09-07,2015-09-14,2015-11-02,0,complete,true
01,2015-09-14,2015-09-21,2015-11-09,0,complete,true
01,2015-09-21,2015-09-28,2015-11-16,0,complete,true
01,2015-09-28,2015-10-05,2015-11-23,0,complete,true
01,2015-10-05,2015-10-12,2015-11-30,0,complete,true
01,2015-10-12,2015-10-19,2015-12-07,0,complete,true
01,2015-10-19,2015-10-26,2015-12-14,0,complete,true
01,2015-10-26,2015-11-02,2015-12-21,0,complete,true
01,2015-11-02,2015-11-09,2015-12-28,0,complete,true
01,2015-11-09,2015-11-16,2016-01-04,0,complete,true
01,2015-11-16,2015-11-23,2016-01-11,0,complete,true
01,2015-11-23,2015-11-30,2016-01-18,0,complete,true
01,2015-11-30,2015-12-07,2016-01-25,0,complete,true
01,2015-12-07,2015-12-14,2016-02-01,0,complete,true
01,2015-12-14,2015-12-21,2016-02-08,0,complete,true
01,2015-12-21,2015-12-28,2016-02-15,0,complete,true
01,2015-12-28,2016-01-04,2016-02-22,0,complete,true
01,2016-01-04,2016-01-11,2016-02-29,0,complete,true
01,2016-01-11,2016-01-18,2016-03-07,0,complete,true
01,2016-01-18,2016-01-25,2016-03-14,0,complete,true
01,2016-01-25,2016-02-01,2016-03-21,0,complete,true
01,2016-02-01,2016-02-08,2016-03-28,0,complete,true
01,2016-02-08,2016-02-15,2016-04-04,0,complete,true
01,2016-02-15,2016-02-22,2016-04-11,0,complete,true
01,2016-02-22,2016-02-29,2016-04-18,0,complete,true
01,2016-02-29,2016-03-07,2016-04-25,0,complete,true
01,2016-03-07,2016-03-14,2016-05-02,0,complete,true
01,2016-03-14,2016-03-21,2016-05-09,0,complete,true
01,2016-03-21,2016-03-28,2016-05-16,0,complete,true
01,2016-03-28,2016-04-04,2016-05-23,0,complete,true
01,2016-04-04,2016-04-11,2016-05-30,1,complete,true
01,2016-04-11,2016-04-18,2016-06-06,2,complete,true
01,2016-04-18,2016-04-25,2016-06-13,2,complete,true
01,2016-04-25,2016-05-02,2016-06-20,2,complete,true
01,2016-05-02,2016-05-09,2016-06-27,2,complete,true
01,2016-05-09,2016-05-16,2016-07-04,2,complete,true
01,2016-05-16,2016-05-23,2016-07-11,2,complete,true
01,2016-05-23,2016-05-30,2016-07-18,2,complete,true
01,2016-05-30,2016-06-06,2016-07-25,2,complete,true
01,2016-06-06,2016-06-13,2016-08-01,1,complete,true
01,2016-06-13,2016-06-20,2016-08-08,1,complete,true
01,2016-06-20,2016-06-27,2016-08-15,1,complete,true
01,2016-06-27,2016-07-04,2016-08-22,1,complete,true
01,2016-07-04,2016-07-11,2016-08-29,1,complete,true
01,2016-07-11,2016-07-18,2016-09-05,1,complete,true
01,2016-07-18,2016-07-25,2016-09-12,1,complete,true
01,2016-07-25,2016-08-01,2016-09-19,0,complete,true
01,2016-08-01,2016-08-08,2016-09-26,0,complete,true
01,2016-08-08,2016-08-15,2016-10-03,0,complete,true
01,2016-08-15,2016-08-22,2016-10-10,0,complete,true
01,2016-08-22,2016-08-29,2016-10-17,0,complete,true
01,2016-08-29,2016-09-05,2016-10-24,0,complete,true
01,2016-09-05,2016-09-12,2016-10-31,0,complete,true
01,2016-09-12,2016-09-19,2016-11-07,0,complete,true
01,2016-09-19,2016-09-26,2016-11-14,0,complete,true
01,2016-09-26,2016-10-03,2016-11-21,0,complete,true
01,2016-10-03,2016-10-10,2016-11-28,0,complete,true
