municipality_code,issue_week,target_lyme_cases_next_4w,target_window_start,target_window_end,target_status,target_training_eligible
001,2014-12-29,1,2015-01-05,2015-01-26,complete,true
001,2015-01-05,1,2015-01-12,2015-02-02,complete,true
001,2015-01-12,0,2015-01-19,2015-02-09,complete,true
001,2015-01-19,1,2015-01-26,2015-02-16,complete,true
001,2015-01-26,1,2015-02-02,2015-02-23,complete,true
001,2015-02-02,1,2015-02-09,2015-03-02,complete,true
001,2015-02-09,1,2015-02-16,2015-03-09,complete,true
001,2015-02-16,0,2015-02-23,2015-03-16,complete,true
001,2015-02-23,0,2015-03-02,2015-03-23,complete,true
001,2015-03-02,2,2015-03-09,2015-03-30,complete,true
001,2015-03-09,3,2015-03-16,2015-04-06,complete,true
001,2015-03-16,4,2015-03-23,2015-04-13,complete,true
001,2015-03-23,8,2015-03-30,2015-04-20,complete,true
001,2015-03-30,8,2015-04-06,2015-04-27,complete,true
001,2015-04-06,8,2015-04-13,2015-05-04,complete,true
001,2015-04-13,7,2015-04-20,2015-05-11,complete,true
001,2015-04-20,5,2015-04-27,2015-05-18,complete,true
001,2015-04-27,5,2015-05-04,2015-05-25,complete,true
001,2015-05-04,10,2015-05-11,2015-06-01,complete,true
001,2015-05-11,14,2015-05-18,2015-06-08,complete,true
001,2015-05-18,17,2015-05-25,2015-06-15,complete,true
001,2015-05-25,16,2015-06-01,2015-06-22,complete,true
001,2015-06-01,11,2015-06-08,2015-06-29,complete,true
001,2015-06-08,10,2015-06-15,2015-07-06,complete,true
001,2015-06-15,7,2015-06-22,2015-07-13,complete,true
001,2015-06-22,8,2015-06-29,2015-07-20,complete,true
001,2015-06-29,10,2015-07-06,2015-07-27,complete,true
001,2015-07-06,10,2015-07-13,2015-08-03,complete,true
001,2015-07-13,11,2015-07-20,2015-08-10,complete,true
001,2015-07-20,11,2015-07-27,2015-08-17,complete,true
001,2015-07-27,8,2015-08-03,2015-08-24,complete,true
001,2015-08-03,5,2015-08-10,2015-08-31,complete,true
001,2015-08-10,5,2015-08-17,2015-09-07,complete,true
001,2015-08-17,3,2015-08-24,2015-09-14,complete,true
001,2015-08-24,3,2015-08-31,2015-09-21,complete,true
001,2015-08-31,3,2015-09-07,2015-09-28,complete,true
001,2015-09-07,2,2015-09-14,2015-10-05,complete,true
001,2015-09-14,2,2015-09-21,2015-10-12,complete,true
001,2015-09-21,4,2015-09-28,2015-10-19,complete,true
001,2015-09-28,5,2015-10-05,2015-10-26,complete,true
001,2015-10-05,5,2015-10-12,2015-11-02,complete,true
001,2015-10-12,6,2015-10-19,2015-11-09,complete,true
001,2015-10-19,7,2015-10-26,2015-11-16,complete,true
001,2015-10-26,9,2015-11-02,2015-11-23,complete,true
001,2015-11-02,7,2015-11-09,2015-11-30,complete,true
001,2015-11-09,7,2015-11-16,2015-12-07,complete,true
001,2015-11-16,5,2015-11-23,2015-12-14,complete,true
001,2015-11-23,3,2015-11-30,2015-12-21,complete,true
001,2015-11-30,3,2015-12-07,2015-12-28,complete,true
001,2015-12-07,5,2015-12-14,2016-01-04,complete,true
001,2015-12-14,5,2015-12-21,2016-01-11,complete,true
001,2015-12-21,5,2015-12-28,2016-01-18,complete,true
001,2015-12-28,6,2016-01-04,2016-01-25,complete,true
001,2016-01-04,3,2016-01-11,2016-02-01,complete,true
001,2016-01-11,2,2016-01-18,2016-02-08,complete,true
001,2016-01-18,2,2016-01-25,2016-02-15,complete,true
001,2016-01-25,2,2016-02-01,2016-02-22,complete,true
001,2016-02-01,3,2016-02-08,2016-02-29,complete,true
001,2016-02-08,4,2016-02-15,2016-03-07,complete,true
001,2016-02-15,3,2016-02-22,2016-03-14,complete,true
001,2016-02-22,2,2016-02-29,2016-03-21,complete,true
001,2016-02-29,2,2016-03-07,2016-03-28,complete,true
001,2016-03-07,2,2016-03-14,2016-04-04,complete,true
001,2016-03-14,4,2016-03-21,2016-04-11,complete,true
001,2016-03-21,7,2016-03-28,2016-04-18,complete,true
001,2016-03-28,8,2016-04-04,2016-04-25,complete,true
001,2016-04-04,11,2016-04-11,2016-05-02,complete,true
001,2016-04-11,14,2016-04-18,2016-05-09,complete,true
001,2016-04-18,12,2016-04-25,2016-05-16,complete,true
001,2016-04-25,16,2016-05-02,2016-05-23,complete,true
001,2016-05-02,18,2016-05-09,2016-05-30,complete,true
001,2016-05-09,21,2016-05-16,2016-06-06,complete,true
001,2016-05-16,26,2016-05-23,2016-06-13,complete,true
001,2016-05-23,25,2016-05-30,2016-06-20,complete,true
001,2016-05-30,25,2016-06-06,2016-06-27,complete,true
001,2016-06-06,21,2016-06-13,2016-07-04,complete,true
001,2016-06-13,19,2016-06-20,2016-07-11,complete,true
001,2016-06-20,18,2016-06-27,2016-07-18,complete,true
001,2016-06-27,13,2016-07-04,2016-07-25,complete,true
001,2016-07-04,13,2016-07-11,2016-08-01,complete,true
001,2016-07-11,11,2016-07-18,2016-08-08,complete,true
001,2016-07-18,8,2016-07-25,2016-08-15,complete,true
001,2016-07-25,9,2016-08-01,2016-08-22,complete,true
001,2016-08-01,8,2016-08-08,2016-08-29,complete,true
001,2016-08-08,9,2016-08-15,2016-09-05,complete,true
001,2016-08-15,10,2016-08-22,2016-09-12,complete,true
001,2016-08-22,8,2016-08-29,2016-09-19,complete,true
001,2016-08-29,6,2016-09-05,2016-09-26,complete,true
001,2016-09-05,3,2016-09-12,2016-10-03,complete,true
001,2016-09-12,1,2016-09-19,2016-10-10,complete,true
001,2016-09-19,1,2016-09-26,2016-10-17,complete,true
001,2016-09-26,0,2016-10-03,2016-10-24,complete,true
001,2016-10-03,0,2016-10-10,2016-10-31,complete,true
001,2016-10-10,2,2016-10-17,2016-11-07,complete,true
001,2016-10-17,7,2016-10-24,2016-11-14,complete,true
001,2016-10-24,8,2016-10-31,2016-11-21,complete,true
001,2016-10-31,8,2016-11-07,2016-11-28,complete,true
001,2016-11-07,7,2016-11-14,2016-12-05,complete,true
001,2016-11-14,4,2016-11-21,2016-12-12,complete,true
001,2016-11-21,4,2016-11-28,2016-12-19,complete,true
001,2016-11-28,4,2016-12-05,2016-12-26,complete,true
001,2016-12-05,4,2016-12-12,2017-01-02,complete,true
001,2016-12-12,2,2016-12-19,2017-01-09,complete,true
001,2016-12-19,2,2016-12-26,2017-01-16,complete,true
001,2016-12-26,4,2017-01-02,2017-01-23,complete,true
001,2017-01-02,3,2017-01-09,2017-01-30,complete,true
001,2017-01-09,3,2017-01-16,2017-02-06,complete,true
001,2017-01-16,3,2017-01-23,2017-02-13,complete,true
001,2017-01-23,2,2017-01-30,2017-02-20,complete,true
001,2017-01-30,3,2017-02-06,2017-02-27,complete,true
001,2017-02-06,4,2017-02-13,2017-03-06,complete,true
001,2017-02-13,4,2017-02-20,2017-03-13,complete,true
001,2017-02-20,5,2017-02-27,2017-03-20,complete,true
001,2017-02-27,6,2017-03-06,2017-03-27,complete,true
001,2017-03-06,5,2017-03-13,2017-04-03,complete,true
001,2017-03-13,7,2017-03-20,2017-04-10,complete,true
001,2017-03-20,9,2017-03-27,2017-04-17,complete,true
001,2017-03-27,13,2017-04-03,2017-04-24,complete,true
001,2017-04-03,18,2017-04-10,2017-05-01,complete,true
001,2017-04-10,18,2017-04-17,2017-05-08,complete,true
001,2017-04-17,20,2017-04-24,2017-05-15,complete,true
001,2017-04-24,14,2017-05-01,2017-05-22,complete,true
001,2017-05-01,19,2017-05-08,2017-05-29,complete,true
001,2017-05-08,25,2017-05-15,2017-06-05,complete,true
001,2017-05-15,26,2017-05-22,2017-06-12,complete,true
001,2017-05-22,30,2017-05-29,2017-06-19,complete,true
001,2017-05-29,21,2017-06-05,2017-06-26,complete,true
001,2017-06-05,18,2017-06-12,2017-07-03,complete,true
001,2017-06-12,15,2017-06-19,2017-07-10,complete,true
001,2017-06-19,13,2017-06-26,2017-07-17,complete,true
001,2017-06-26,17,2017-07-03,2017-07-24,complete,true
001,2017-07-03,14,2017-07-10,2017-07-31,complete,true
001,2017-07-10,10,2017-07-17,2017-08-07,complete,true
001,2017-07-17,11,2017-07-24,2017-08-14,complete,true
001,2017-07-24,7,2017-07-31,2017-08-21,complete,true
001,2017-07-31,5,2017-08-07,2017-08-28,complete,true
001,2017-08-07,7,2017-08-14,2017-09-04,complete,true
001,2017-08-14,5,2017-08-21,2017-09-11,complete,true
001,2017-08-21,4,2017-08-28,2017-09-18,complete,true
001,2017-08-28,6,2017-09-04,2017-09-25,complete,true
001,2017-09-04,4,2017-09-11,2017-10-02,complete,true
001,2017-09-11,4,2017-09-18,2017-10-09,complete,true
001,2017-09-18,6,2017-09-25,2017-10-16,complete,true
001,2017-09-25,7,2017-10-02,2017-10-23,complete,true
001,2017-10-02,7,2017-10-09,2017-10-30,complete,true
001,2017-10-09,9,2017-10-16,2017-11-06,complete,true
001,2017-10-16,10,2017-10-23,2017-11-13,complete,true
001,2017-10-23,7,2017-10-30,2017-11-20,complete,true
001,2017-10-30,8,2017-11-06,2017-11-27,complete,true
001,2017-11-06,5,2017-11-13,2017-12-04,complete,true
001,2017-11-13,2,2017-11-20,2017-12-11,complete,true
001,2017-11-20,3,2017-11-27,2017-12-18,complete,true
001,2017-11-27,2,2017-12-04,2017-12-25,complete,true
001,2017-12-04,4,2017-12-11,2018-01-01,complete,true
001,2017-12-11,4,2017-12-18,2018-01-08,complete,true
001,2017-12-18,2,2017-12-25,2018-01-15,complete,true
001,2017-12-25,3,2018-01-01,2018-01-22,complete,true
001,2018-01-01,4,2018-01-08,2018-01-29,complete,true
001,2018-01-08,5,2018-01-15,2018-02-05,complete,true
001,2018-01-15,7,2018-01-22,2018-02-12,complete,true
001,2018-01-22,7,2018-01-29,2018-02-19,complete,true
001,2018-01-29,4,2018-02-05,2018-02-26,complete,true
001,2018-02-05,4,2018-02-12,2018-03-05,complete,true
001,2018-02-12,2,2018-02-19,2018-03-12,complete,true
001,2018-02-19,2,2018-02-26,2018-03-19,complete,true
001,2018-02-26,3,2018-03-05,2018-03-26,complete,true
001,2018-03-05,3,2018-03-12,2018-04-02,complete,true
001,2018-03-12,4,2018-03-19,2018-04-09,complete,true
001,2018-03-19,9,2018-03-26,2018-04-16,complete,true
001,2018-03-26,9,2018-04-02,2018-04-23,complete,true
001,2018-04-02,16,2018-04-09,2018-04-30,complete,true
001,2018-04-09,17,2018-04-16,2018-05-07,complete,true
001,2018-04-16,14,2018-04-23,2018-05-14,complete,true
001,2018-04-23,19,2018-04-30,2018-05-21,complete,true
001,2018-04-30,17,2018-05-07,2018-05-28,complete,true
001,2018-05-07,27,2018-05-14,2018-06-04,complete,true
001,2018-05-14,30,2018-05-21,2018-06-11,complete,true
001,2018-05-21,33,2018-05-28,2018-06-18,complete,true
001,2018-05-28,35,2018-06-04,2018-06-25,complete,true
001,2018-06-04,33,2018-06-11,2018-07-02,complete,true
001,2018-06-11,36,2018-06-18,2018-07-09,complete,true
001,2018-06-18,30,2018-06-25,2018-07-16,complete,true
001,2018-06-25,26,2018-07-02,2018-07-23,complete,true
001,2018-07-02,18,2018-07-09,2018-07-30,complete,true
001,2018-07-09,11,2018-07-16,2018-08-06,complete,true
001,2018-07-16,13,2018-07-23,2018-08-13,complete,true
001,2018-07-23,10,2018-07-30,2018-08-20,complete,true
001,2018-07-30,11,2018-08-06,2018-08-27,complete,true
001,2018-08-06,9,2018-08-13,2018-09-03,complete,true
001,2018-08-13,6,2018-08-20,2018-09-10,complete,true
001,2018-08-20,8,2018-08-27,2018-09-17,complete,true
001,2018-08-27,7,2018-09-03,2018-09-24,complete,true
001,2018-09-03,8,2018-09-10,2018-10-01,complete,true
001,2018-09-10,8,2018-09-17,2018-10-08,complete,true
001,2018-09-17,5,2018-09-24,2018-10-15,complete,true
001,2018-09-24,3,2018-10-01,2018-10-22,complete,true
001,2018-10-01,3,2018-10-08,2018-10-29,complete,true
001,2018-10-08,2,2018-10-15,2018-11-05,complete,true
001,2018-10-15,5,2018-10-22,2018-11-12,complete,true
001,2018-10-22,7,2018-10-29,2018-11-19,complete,true
001,2018-10-29,6,2018-11-05,2018-11-26,complete,true
001,2018-11-05,6,2018-11-12,2018-12-03,complete,true
001,2018-11-12,6,2018-11-19,2018-12-10,complete,true
001,2018-11-19,4,2018-11-26,2018-12-17,complete,true
001,2018-11-26,4,2018-12-03,2018-12-24,complete,true
001,2018-12-03,3,2018-12-10,2018-12-31,complete,true
001,2018-12-10,1,2018-12-17,2019-01-07,complete,true
001,2018-12-17,1,2018-12-24,2019-01-14,complete,true
001,2018-12-24,2,2018-12-31,2019-01-21,complete,true
001,2018-12-31,2,2019-01-07,2019-01-28,complete,true
001,2019-01-07,1,2019-01-14,2019-02-04,complete,true
001,2019-01-14,1,2019-01-21,2019-02-11,complete,true
001,2019-01-21,1,2019-01-28,2019-02-18,complete,true
001,2019-01-28,2,2019-02-04,2019-02-25,complete,true
001,2019-02-04,2,2019-02-11,2019-03-04,complete,true
001,2019-02-11,4,2019-02-18,2019-03-11,complete,true
001,2019-02-18,3,2019-02-25,2019-03-18,complete,true
001,2019-02-25,2,2019-03-04,2019-03-25,complete,true
001,2019-03-04,6,2019-03-11,2019-04-01,complete,true
001,2019-03-11,5,2019-03-18,2019-04-08,complete,true
001,2019-03-18,7,2019-03-25,2019-04-15,complete,true
001,2019-03-25,9,2019-04-01,2019-04-22,complete,true
001,2019-04-01,8,2019-04-08,2019-04-29,complete,true
001,2019-04-08,10,2019-04-15,2019-05-06,complete,true
001,2019-04-15,9,2019-04-22,2019-05-13,complete,true
001,2019-04-22,9,2019-04-29,2019-05-20,complete,true
001,2019-04-29,9,2019-05-06,2019-05-27,complete,true
001,2019-05-06,9,2019-05-13,2019-06-03,complete,true
001,2019-05-13,13,2019-05-20,2019-06-10,complete,true
001,2019-05-20,15,2019-05-27,2019-06-17,complete,true
001,2019-05-27,18,2019-06-03,2019-06-24,complete,true
001,2019-06-03,17,2019-06-10,2019-07-01,complete,true
001,2019-06-10,15,2019-06-17,2019-07-08,complete,true
001,2019-06-17,12,2019-06-24,2019-07-15,complete,true
001,2019-06-24,8,2019-07-01,2019-07-22,complete,true
001,2019-07-01,8,2019-07-08,2019-07-29,complete,true
001,2019-07-08,5,2019-07-15,2019-08-05,complete,true
001,2019-07-15,5,2019-07-22,2019-08-12,complete,true
001,2019-07-22,4,2019-07-29,2019-08-19,complete,true
001,2019-07-29,3,2019-08-05,2019-08-26,complete,true
001,2019-08-05,4,2019-08-12,2019-09-02,complete,true
001,2019-08-12,4,2019-08-19,2019-09-09,complete,true
001,2019-08-19,4,2019-08-26,2019-09-16,complete,true
001,2019-08-26,5,2019-09-02,2019-09-23,complete,true
001,2019-09-02,5,2019-09-09,2019-09-30,complete,true
001,2019-09-09,5,2019-09-16,2019-10-07,complete,true
001,2019-09-16,6,2019-09-23,2019-10-14,complete,true
001,2019-09-23,5,2019-09-30,2019-10-21,complete,true
001,2019-09-30,5,2019-10-07,2019-10-28,complete,true
001,2019-10-07,4,2019-10-14,2019-11-04,complete,true
001,2019-10-14,2,2019-10-21,2019-11-11,complete,true
001,2019-10-21,3,2019-10-28,2019-11-18,complete,true
001,2019-10-28,2,2019-11-04,2019-11-25,complete,true
001,2019-11-04,2,2019-11-11,2019-12-02,complete,true
001,2019-11-11,2,2019-11-18,2019-12-09,complete,true
001,2019-11-18,2,2019-11-25,2019-12-16,complete,true
001,2019-11-25,2,2019-12-02,2019-12-23,complete,true
001,2019-12-02,2,2019-12-09,2019-12-30,complete,true
001,2019-12-09,2,2019-12-16,2020-01-06,complete,true
001,2019-12-16,0,2019-12-23,2020-01-13,complete,true
001,2019-12-23,0,2019-12-30,2020-01-20,complete,true
001,2019-12-30,0,2020-01-06,2020-01-27,complete,true
001,2020-01-06,1,2020-01-13,2020-02-03,complete,true
001,2020-01-13,1,2020-01-20,2020-02-10,complete,true
001,2020-01-20,2,2020-01-27,2020-02-17,complete,true
001,2020-01-27,2,2020-02-03,2020-02-24,complete,true
001,2020-02-03,2,2020-02-10,2020-03-02,complete,true
001,2020-02-10,3,2020-02-17,2020-03-09,complete,true
001,2020-02-17,2,2020-02-24,2020-03-16,complete,true
001,2020-02-24,5,2020-03-02,2020-03-23,complete,true
001,2020-03-02,5,2020-03-09,2020-03-30,complete,true
001,2020-03-09,8,2020-03-16,2020-04-06,complete,true
001,2020-03-16,13,2020-03-23,2020-04-13,complete,true
001,2020-03-23,12,2020-03-30,2020-04-20,complete,true
001,2020-03-30,14,2020-04-06,2020-04-27,complete,true
001,2020-04-06,13,2020-04-13,2020-05-04,complete,true
001,2020-04-13,12,2020-04-20,2020-05-11,complete,true
001,2020-04-20,14,2020-04-27,2020-05-18,complete,true
001,2020-04-27,17,2020-05-04,2020-05-25,complete,true
001,2020-05-04,26,2020-05-11,2020-06-01,complete,true
001,2020-05-11,34,2020-05-18,2020-06-08,complete,true
001,2020-05-18,41,2020-05-25,2020-06-15,complete,true
001,2020-05-25,42,2020-06-01,2020-06-22,complete,true
001,2020-06-01,42,2020-06-08,2020-06-29,complete,true
