statistical_region_code,issue_week,target_window_start,target_window_end,target_reported_lyme_cases_next_8w,target_reported_kme_cases_next_8w,target_reported_lyme_plus_kme_cases_next_8w,target_status,target_training_eligible
01,2014-12-29,2015-01-05,2015-02-23,15,0,15,complete,true
01,2015-01-05,2015-01-12,2015-03-02,14,0,14,complete,true
01,2015-01-12,2015-01-19,2015-03-09,12,0,12,complete,true
01,2015-01-19,2015-01-26,2015-03-16,12,0,12,complete,true
01,2015-01-26,2015-02-02,2015-03-23,13,0,13,complete,true
01,2015-02-02,2015-02-09,2015-03-30,16,0,16,complete,true
01,2015-02-09,2015-02-16,2015-04-06,17,0,17,complete,true
01,2015-02-16,2015-02-23,2015-04-13,17,0,17,complete,true
01,2015-02-23,2015-03-02,2015-04-20,20,0,20,complete,true
01,2015-03-02,2015-03-09,2015-04-27,23,0,23,complete,true
01,2015-03-09,2015-03-16,2015-05-04,36,0,36,complete,true
01,2015-03-16,2015-03-23,2015-05-11,43,0,43,complete,true
01,2015-03-23,2015-03-30,2015-05-18,51,1,52,complete,true
01,2015-03-30,2015-04-06,2015-05-25,59,1,60,complete,true
01,2015-04-06,2015-04-13,2015-06-01,72,1,73,complete,true
01,2015-04-13,2015-04-20,2015-06-08,87,1,88,complete,true
01,2015-04-20,2015-04-27,2015-06-15,101,2,103,complete,true
01,2015-04-27,2015-05-04,2015-06-22,120,2,122,complete,true
01,2015-05-04,2015-05-11,2015-06-29,118,2,120,complete,true
01,2015-05-11,2015-05-18,2015-07-06,115,2,117,complete,true
01,2015-05-18,2015-05-25,2015-07-13,116,1,117,complete,true
01,2015-05-25,2015-06-01,2015-07-20,116,1,117,complete,true
01,2015-06-01,2015-06-08,2015-07-27,111,1,112,complete,true
01,2015-06-08,2015-06-15,2015-08-03,100,1,101,complete,true
01,2015-06-15,2015-06-22,2015-08-10,91,0,91,complete,true
01,2015-06-22,2015-06-29,2015-08-17,79,0,79,complete,true
01,2015-06-29,2015-07-06,2015-08-24,71,0,71,complete,true
01,2015-07-06,2015-07-13,2015-08-31,80,0,80,complete,true
01,2015-07-13,2015-07-20,2015-09-07,72,0,72,complete,true
01,2015-07-20,2015-07-27,2015-09-14,63,0,63,complete,true
01,2015-07-27,2015-08-03,2015-09-21,53,0,53,complete,true
01,2015-08-03,2015-08-10,2015-09-28,52,0,52,complete,true
01,2015-08-10,2015-08-17,2015-10-05,42,0,42,complete,true
01,2015-08-17,2015-08-24,2015-10-12,32,0,32,complete,true
01,2015-08-24,2015-08-31,2015-10-19,30,0,30,complete,true
01,2015-08-31,2015-09-07,2015-10-26,18,0,18,complete,true
01,2015-09-07,2015-09-14,2015-11-02,20,0,20,complete,true
01,2015-09-14,2015-09-21,2015-11-09,22,0,22,complete,true
01,2015-09-21,2015-09-28,2015-11-16,22,0,22,complete,true
01,2015-09-28,2015-10-05,2015-11-23,20,0,20,complete,true
01,2015-10-05,2015-10-12,2015-11-30,24,0,24,complete,true
01,2015-10-12,2015-10-19,2015-12-07,27,0,27,complete,true
01,2015-10-19,2015-10-26,2015-12-14,26,0,26,complete,true
01,2015-10-26,2015-11-02,2015-12-21,26,0,26,complete,true
01,2015-11-02,2015-11-09,2015-12-28,23,0,23,complete,true
01,2015-11-09,2015-11-16,2016-01-04,22,0,22,complete,true
01,2015-11-16,2015-11-23,2016-01-11,22,0,22,complete,true
01,2015-11-23,2015-11-30,2016-01-18,19,0,19,complete,true
01,2015-11-30,2015-12-07,2016-01-25,15,0,15,complete,true
01,2015-12-07,2015-12-14,2016-02-01,11,0,11,complete,true
01,2015-12-14,2015-12-21,2016-02-08,11,0,11,complete,true
01,2015-12-21,2015-12-28,2016-02-15,11,0,11,complete,true
01,2015-12-28,2016-01-04,2016-02-22,10,0,10,complete,true
01,2016-01-04,2016-01-11,2016-02-29,7,0,7,complete,true
01,2016-01-11,2016-01-18,2016-03-07,9,0,9,complete,true
01,2016-01-18,2016-01-25,2016-03-14,11,0,11,complete,true
01,2016-01-25,2016-02-01,2016-03-21,12,0,12,complete,true
01,2016-02-01,2016-02-08,2016-03-28,16,0,16,complete,true
01,2016-02-08,2016-02-15,2016-04-04,18,0,18,complete,true
01,2016-02-15,2016-02-22,2016-04-11,23,0,23,complete,true
01,2016-02-22,2016-02-29,2016-04-18,30,0,30,complete,true
01,2016-02-29,2016-03-07,2016-04-25,36,0,36,complete,true
01,2016-03-07,2016-03-14,2016-05-02,41,0,41,complete,true
01,2016-03-14,2016-03-21,2016-05-09,48,0,48,complete,true
01,2016-03-21,2016-03-28,2016-05-16,58,0,58,complete,true
01,2016-03-28,2016-04-04,2016-05-23,70,0,70,complete,true
01,2016-04-04,2016-04-11,2016-05-30,79,1,80,complete,true
01,2016-04-11,2016-04-18,2016-06-06,92,2,94,complete,true
01,2016-04-18,2016-04-25,2016-06-13,100,2,102,complete,true
01,2016-04-25,2016-05-02,2016-06-20,111,2,113,complete,true
01,2016-05-02,2016-05-09,2016-06-27,125,2,127,complete,true
01,2016-05-09,2016-05-16,2016-07-04,136,2,138,complete,true
01,2016-05-16,2016-05-23,2016-07-11,138,2,140,complete,true
01,2016-05-23,2016-05-30,2016-07-18,132,2,134,complete,true
01,2016-05-30,2016-06-06,2016-07-25,135,2,137,complete,true
01,2016-06-06,2016-06-13,2016-08-01,123,1,124,complete,true
01,2016-06-13,2016-06-20,2016-08-08,114,1,115,complete,true
01,2016-06-20,2016-06-27,2016-08-15,104,1,105,complete,true
01,2016-06-27,2016-07-04,2016-08-22,89,1,90,complete,true
01,2016-07-04,2016-07-11,2016-08-29,79,1,80,complete,true
01,2016-07-11,2016-07-18,2016-09-05,69,1,70,complete,true
01,2016-07-18,2016-07-25,2016-09-12,69,1,70,complete,true
01,2016-07-25,2016-08-01,2016-09-19,55,0,55,complete,true
01,2016-08-01,2016-08-08,2016-09-26,56,0,56,complete,true
01,2016-08-08,2016-08-15,2016-10-03,53,0,53,complete,true
01,2016-08-15,2016-08-22,2016-10-10,49,0,49,complete,true
01,2016-08-22,2016-08-29,2016-10-17,49,0,49,complete,true
01,2016-08-29,2016-09-05,2016-10-24,41,0,41,complete,true
01,2016-09-05,2016-09-12,2016-10-31,43,0,43,complete,true
01,2016-09-12,2016-09-19,2016-11-07,38,0,38,complete,true
01,2016-09-19,2016-09-26,2016-11-14,41,0,41,complete,true
01,2016-09-26,2016-10-03,2016-11-21,34,0,34,complete,true
01,2016-10-03,2016-10-10,2016-11-28,33,0,33,complete,true
01,2016-10-10,2016-10-17,2016-12-05,36,0,36,complete,true
01,2016-10-17,2016-10-24,2016-12-12,33,0,33,complete,true
01,2016-10-24,2016-10-31,2016-12-19,33,0,33,complete,true
01,2016-10-31,2016-11-07,2016-12-26,30,0,30,complete,true
01,2016-11-07,2016-11-14,2017-01-02,28,0,28,complete,true
01,2016-11-14,2016-11-21,2017-01-09,27,0,27,complete,true
01,2016-11-21,2016-11-28,2017-01-16,26,0,26,complete,true
01,2016-11-28,2016-12-05,2017-01-23,25,0,25,complete,true
01,2016-12-05,2016-12-12,2017-01-30,21,0,21,complete,true
01,2016-12-12,2016-12-19,2017-02-06,17,0,17,complete,true
01,2016-12-19,2016-12-26,2017-02-13,17,0,17,complete,true
01,2016-12-26,2017-01-02,2017-02-20,19,0,19,complete,true
01,2017-01-02,2017-01-09,2017-02-27,18,0,18,complete,true
