feature,coefficient,standard_error
intercept,3.407233369930338,0.006115841918253328
seasonal_sin_annual,0.6978063160091716,0.002990129046432067
seasonal_cos_annual,-0.8545017594073543,0.0031988442972835773
region[02],-0.4604262144296938,0.007627196922674747
region[03],-0.014942115004614218,0.009659543769822972
region[04],-0.5544774190802393,0.008244256271664186
region[05],-0.4330062834166678,0.01249019923833369
region[06],-0.6577774268977566,0.012436711876954113
region[07],-0.21537615823691872,0.008469203498157307
region[08],-0.22535221039796524,0.006713891303813633
region[09],0.11506778605695331,0.007185898789862526
region[10],0.014192388400413487,0.01046640854566213
region[11],0.2198681525002011,0.0077695928641247644
region[12],-0.5815122601740461,0.010618862029363175
z_past_8w_reported_lyme_plus_kme_incidence_per_100000,0.20481463165037728,0.0017674711449128819
