municipality_code,grid_cell_index,latitude,longitude,intersection_area_m2,normalized_intersection_weight
001,311,46,13.8,9225895.41188557,0.0376039425000929
001,312,46,13.9,16558360.632512,0.0674904292019854
001,344,45.9,13.7,627575.139473308,0.00255794136023258
001,345,45.9,13.8,57870452.6780975,0.235874901872183
001,346,45.9,13.9,82067316.4424875,0.33449920152623
001,347,45.9,14,41166725.8602581,0.167791972817287
001,348,45.9,14.1,19927518.5113349,0.0812228219392556
001,379,45.8,13.8,1830770.16592841,0.00746205901724907
001,380,45.8,13.9,10078277.479832,0.0410781772318107
001,381,45.8,14,2919234.74260705,0.0118985453990567
001,382,45.8,14.1,3071706.54725244,0.0125200071346172
002,97,46.7,16.2,205811.884349384,0.00330313241444828
002,98,46.7,16.3,783070.468478353,0.0125677166573971
002,130,46.6,16.1,98320.2404948069,0.00157796900019354
002,131,46.6,16.2,44392012.5174706,0.712459807423601
002,132,46.6,16.3,16828878.7001421,0.27009137450436
003,177,46.4,14,4996251.4876574,0.0689866884035467
003,178,46.4,14.1,23493117.8363298,0.324385672700113
003,179,46.4,14.2,17805.1154808226,0.000245847503212973
003,211,46.3,14,13957988.5775484,0.192727570082962
003,212,46.3,14.1,29723287.9302765,0.410409925889522
003,213,46.3,14.2,234962.950054484,0.00324429542064283
004,175,46.4,13.8,7757417.7779887,0.0232417253138621
004,176,46.4,13.9,10348399.46934,0.0310044740128557
004,177,46.4,14,29414.5128590712,8.81277826819387e-05
004,208,46.3,13.7,6786806.9453693,0.0203337124925843
004,209,46.3,13.8,81251002.9797288,0.243433259207584
004,210,46.3,13.9,85637426.680237,0.25657526827234
004,211,46.3,14,71092586.9517175,0.212997987870659
004,212,46.3,14.1,32234280.3214964,0.0965759883460204
004,213,46.3,14.2,5258666.27328954,0.0157553042183523
004,243,46.2,13.8,5207847.50685199,0.0156030479077946
004,244,46.2,13.9,17792809.0275466,0.0533084064588647
004,245,46.2,14,6742024.13831269,0.020199540306661
004,246,46.2,14.1,3632484.28134437,0.0108831578097392
005,316,46,14.3,879283.822361185,0.0207847655563915
005,317,46,14.4,2188135.54526147,0.0517237815108857
005,350,45.9,14.3,3544807.67162079,0.0837931900069364
005,351,45.9,14.4,35692018.3454633,0.843698262925786
006,171,46.4,13.4,1119174.0079714,0.0030459998744271
006,172,46.4,13.5,20913900.9582835,0.0569203173402685
006,173,46.4,13.6,66936207.9151953,0.182176926422617
006,174,46.4,13.7,71033534.5609403,0.193328415252355
006,175,46.4,13.8,39227483.0981296,0.106763477117892
006,205,46.3,13.4,13697423.8563233,0.0372795928507677
006,206,46.3,13.5,60385743.8788921,0.164348856354956
006,207,46.3,13.6,47256152.9360933,0.128614705920624
006,208,46.3,13.7,45242193.3265853,0.123133412865238
006,209,46.3,13.8,1612366.06234734,0.0043882960008539
007,274,46.1,13.5,6068691.76162613,0.084303130394871
007,275,46.1,13.6,1143646.82517686,0.0158869507985575
007,308,46,13.5,35904132.8659781,0.498761662909747
007,309,46,13.6,28870081.5162572,0.401048255896825
008,317,46,14.4,43855692.4691581,0.481159099927028
008,318,46,14.5,2368428.84751567,0.0259850210622777
008,351,45.9,14.4,31757957.3918763,0.348429800873452
008,352,45.9,14.5,13163848.8563847,0.144426078137243
009,296,46.1,15.7,265308.660236873,0.000990051270681085
009,328,46,15.5,420603.57429313,0.00156956468292491
009,329,46,15.6,53885919.1313127,0.20108586979461
009,330,46,15.7,49915021.2931983,0.186267686148212
009,362,45.9,15.5,26639360.4635551,0.0994099953372297
009,363,45.9,15.6,84252279.571785,0.314403896101055
009,364,45.9,15.7,37661501.3338848,0.140541274521833
009,396,45.8,15.5,656046.570535166,0.00244816637423145
009,397,45.8,15.6,9922310.60196591,0.0370270469527759
009,398,45.8,15.7,4356316.46907935,0.0162564488164474
010,95,46.7,16,3669369.09724436,0.0945853524453062
010,96,46.7,16.1,21963052.9710805,0.566141767423905
010,129,46.6,16,332814.246738941,0.00857895512617206
010,130,46.6,16.1,12829027.3037789,0.330693925004617
011,223,46.3,15.2,18715741.6233885,0.197176211765609
011,224,46.3,15.3,27758255.2733996,0.29244193097814
