municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
001,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
002,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
003,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
004,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
005,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
006,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
007,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
008,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
009,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
010,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
011,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
012,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
013,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
014,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
015,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
016,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
017,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
018,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
019,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
020,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
021,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
022,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
023,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
024,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
025,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
026,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
027,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
028,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
029,2016-03-28,2016-04-03,incomplete_source_week,120,119,,,,,,,
