fold_id,candidate_id,candidate_name,n_original_train,n_common_train,n_train_excluded_incomplete_weather,n_validation,n_parameters,design_matrix_rank,offset,offset_coefficient,weather_scaling_fit_scope,weather_scaling_means,weather_scaling_standard_deviations,train_target_end_max,validation_start,latest_training_weather_week_end,latest_validation_weather_week_end,converged,iterations,warning_count,warning_messages,deviance,pearson_chi2
fold_01_validate_2017,statistical_baseline_s1,S1 baseline on common weather support,10176,6572,3604,10176,3,3,log(population),1,,,,2016-12-26,2017-01-02,2016-11-27,2017-11-26,true,6,0,[],10333.6217151023,12567.3309141313
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography,S1 plus fixed municipality area,10176,6572,3604,10176,4,4,log(population),1,,,,2016-12-26,2017-01-02,2016-11-27,2017-11-26,true,6,0,[],10332.8662020755,12533.414974421
fold_01_validate_2017,statistical_baseline_s1_plus_weather,S1 plus lagged ERA5-Land weather,10176,6572,3604,10176,24,24,log(population),1,training_fold_only,"{""d2m_mean_c_lag_1w"": 10.759019350622355, ""d2m_mean_c_lag_2w"": 10.637240354822941, ""d2m_mean_c_previous_4w_mean"": 10.784000035949187, ""stl1_mean_c_lag_1w"": 14.892383616524597, ""stl1_mean_c_lag_2w"": 14.939705611752979, ""stl1_mean_c_previous_4w_mean"": 15.089517915938737, ""stl2_mean_c_lag_1w"": 14.747863096284977, ""stl2_mean_c_lag_2w"": 14.793558943752059, ""stl2_mean_c_previous_4w_mean"": 14.908857122015077, ""swvl1_mean_m3_m3_lag_1w"": 0.363342398564214, ""swvl1_mean_m3_m3_lag_2w"": 0.36158319004436307, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3603918170801252, ""swvl2_mean_m3_m3_lag_1w"": 0.36145361985324614, ""swvl2_mean_m3_m3_lag_2w"": 0.35949025228663445, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.3583287786487674, ""t2m_mean_c_lag_1w"": 14.813498743669523, ""t2m_mean_c_lag_2w"": 14.847181052952228, ""t2m_mean_c_previous_4w_mean"": 15.03067080945158, ""tp_sum_mm_lag_1w"": 29.565878657496405, ""tp_sum_mm_lag_2w"": 29.65252996195205, ""tp_sum_mm_previous_4w_sum"": 115.76489417845816}","{""d2m_mean_c_lag_1w"": 4.808830161720307, ""d2m_mean_c_lag_2w"": 4.90527617412685, ""d2m_mean_c_previous_4w_mean"": 4.199434750963731, ""stl1_mean_c_lag_1w"": 5.198670247351854, ""stl1_mean_c_lag_2w"": 5.156885924482303, ""stl1_mean_c_previous_4w_mean"": 4.668981774491989, ""stl2_mean_c_lag_1w"": 4.790257054198667, ""stl2_mean_c_lag_2w"": 4.747274871268055, ""stl2_mean_c_previous_4w_mean"": 4.350621269093899, ""swvl1_mean_m3_m3_lag_1w"": 0.033165343242211244, ""swvl1_mean_m3_m3_lag_2w"": 0.03357193707852909, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.027996070692143733, ""swvl2_mean_m3_m3_lag_1w"": 0.03540372220295716, ""swvl2_mean_m3_m3_lag_2w"": 0.03560415097451919, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.030407792877138913, ""t2m_mean_c_lag_1w"": 5.562821307392437, ""t2m_mean_c_lag_2w"": 5.536483163750656, ""t2m_mean_c_previous_4w_mean"": 4.933811341511563, ""tp_sum_mm_lag_1w"": 20.461156927224177, ""tp_sum_mm_lag_2w"": 20.273292177527566, ""tp_sum_mm_previous_4w_sum"": 46.02907853084169}",2016-12-26,2017-01-02,2016-11-27,2017-11-26,true,6,0,[],9721.55482284403,11667.0832446806
fold_01_validate_2017,statistical_baseline_s1_plus_static_geography_weather,S1 plus fixed municipality area and lagged ERA5-Land weather,10176,6572,3604,10176,25,25,log(population),1,training_fold_only,"{""d2m_mean_c_lag_1w"": 10.759019350622355, ""d2m_mean_c_lag_2w"": 10.637240354822941, ""d2m_mean_c_previous_4w_mean"": 10.784000035949187, ""stl1_mean_c_lag_1w"": 14.892383616524597, ""stl1_mean_c_lag_2w"": 14.939705611752979, ""stl1_mean_c_previous_4w_mean"": 15.089517915938737, ""stl2_mean_c_lag_1w"": 14.747863096284977, ""stl2_mean_c_lag_2w"": 14.793558943752059, ""stl2_mean_c_previous_4w_mean"": 14.908857122015077, ""swvl1_mean_m3_m3_lag_1w"": 0.363342398564214, ""swvl1_mean_m3_m3_lag_2w"": 0.36158319004436307, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3603918170801252, ""swvl2_mean_m3_m3_lag_1w"": 0.36145361985324614, ""swvl2_mean_m3_m3_lag_2w"": 0.35949025228663445, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.3583287786487674, ""t2m_mean_c_lag_1w"": 14.813498743669523, ""t2m_mean_c_lag_2w"": 14.847181052952228, ""t2m_mean_c_previous_4w_mean"": 15.03067080945158, ""tp_sum_mm_lag_1w"": 29.565878657496405, ""tp_sum_mm_lag_2w"": 29.65252996195205, ""tp_sum_mm_previous_4w_sum"": 115.76489417845816}","{""d2m_mean_c_lag_1w"": 4.808830161720307, ""d2m_mean_c_lag_2w"": 4.90527617412685, ""d2m_mean_c_previous_4w_mean"": 4.199434750963731, ""stl1_mean_c_lag_1w"": 5.198670247351854, ""stl1_mean_c_lag_2w"": 5.156885924482303, ""stl1_mean_c_previous_4w_mean"": 4.668981774491989, ""stl2_mean_c_lag_1w"": 4.790257054198667, ""stl2_mean_c_lag_2w"": 4.747274871268055, ""stl2_mean_c_previous_4w_mean"": 4.350621269093899, ""swvl1_mean_m3_m3_lag_1w"": 0.033165343242211244, ""swvl1_mean_m3_m3_lag_2w"": 0.03357193707852909, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.027996070692143733, ""swvl2_mean_m3_m3_lag_1w"": 0.03540372220295716, ""swvl2_mean_m3_m3_lag_2w"": 0.03560415097451919, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.030407792877138913, ""t2m_mean_c_lag_1w"": 5.562821307392437, ""t2m_mean_c_lag_2w"": 5.536483163750656, ""t2m_mean_c_previous_4w_mean"": 4.933811341511563, ""tp_sum_mm_lag_1w"": 20.461156927224177, ""tp_sum_mm_lag_2w"": 20.273292177527566, ""tp_sum_mm_previous_4w_sum"": 46.02907853084169}",2016-12-26,2017-01-02,2016-11-27,2017-11-26,true,6,0,[],9712.94844384795,11549.2079479365
fold_02_validate_2018,statistical_baseline_s1,S1 baseline on common weather support,21200,17596,3604,10388,3,3,log(population),1,,,,2017-12-25,2018-01-01,2017-11-26,2018-12-02,true,6,0,[],27345.265426336,33940.2853576916
fold_02_validate_2018,statistical_baseline_s1_plus_static_geography,S1 plus fixed municipality area,21200,17596,3604,10388,4,4,log(population),1,,,,2017-12-25,2018-01-01,2017-11-26,2018-12-02,true,6,0,[],27305.9902153422,33478.6404423113
fold_02_validate_2018,statistical_baseline_s1_plus_weather,S1 plus lagged ERA5-Land weather,21200,17596,3604,10388,24,24,log(population),1,training_fold_only,"{""d2m_mean_c_lag_1w"": 7.459407777775517, ""d2m_mean_c_lag_2w"": 7.490566557808382, ""d2m_mean_c_previous_4w_mean"": 7.530001761329128, ""stl1_mean_c_lag_1w"": 12.101234740286042, ""stl1_mean_c_lag_2w"": 12.17158851108552, ""stl1_mean_c_previous_4w_mean"": 12.211216172260055, ""stl2_mean_c_lag_1w"": 12.013446245268746, ""stl2_mean_c_lag_2w"": 12.077287929330394, ""stl2_mean_c_previous_4w_mean"": 12.101838453484714, ""swvl1_mean_m3_m3_lag_1w"": 0.351437878826343, ""swvl1_mean_m3_m3_lag_2w"": 0.35084689787453793, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3504146387167261, ""swvl2_mean_m3_m3_lag_1w"": 0.349800141605141, ""swvl2_mean_m3_m3_lag_2w"": 0.34909547163940696, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.348668214060209, ""t2m_mean_c_lag_1w"": 12.048454689191132, ""t2m_mean_c_lag_2w"": 12.113349376720041, ""t2m_mean_c_previous_4w_mean"": 12.169985919115241, ""tp_sum_mm_lag_1w"": 24.210964355351486, ""tp_sum_mm_lag_2w"": 23.973119407239462, ""tp_sum_mm_previous_4w_sum"": 95.23322174288873}","{""d2m_mean_c_lag_1w"": 7.071504358512323, ""d2m_mean_c_lag_2w"": 7.0544317877244405, ""d2m_mean_c_previous_4w_mean"": 6.645846351412826, ""stl1_mean_c_lag_1w"": 7.484626055473172, ""stl1_mean_c_lag_2w"": 7.44519666373043, ""stl1_mean_c_previous_4w_mean"": 7.228880133464737, ""stl2_mean_c_lag_1w"": 7.065154799096709, ""stl2_mean_c_lag_2w"": 7.0299922563863895, ""stl2_mean_c_previous_4w_mean"": 6.862428874956629, ""swvl1_mean_m3_m3_lag_1w"": 0.04465116748736993, ""swvl1_mean_m3_m3_lag_2w"": 0.04465515927215035, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03856126598616928, ""swvl2_mean_m3_m3_lag_1w"": 0.04694274169042571, ""swvl2_mean_m3_m3_lag_2w"": 0.046850818225535974, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.041626380615697685, ""t2m_mean_c_lag_1w"": 7.834316305000377, ""t2m_mean_c_lag_2w"": 7.800138291650552, ""t2m_mean_c_previous_4w_mean"": 7.496112243732297, ""tp_sum_mm_lag_1w"": 24.655172585631995, ""tp_sum_mm_lag_2w"": 24.60989712778432, ""tp_sum_mm_previous_4w_sum"": 61.99551031580787}",2017-12-25,2018-01-01,2017-11-26,2018-12-02,true,6,0,[],26022.9807218924,32423.2123399558
fold_02_validate_2018,statistical_baseline_s1_plus_static_geography_weather,S1 plus fixed municipality area and lagged ERA5-Land weather,21200,17596,3604,10388,25,25,log(population),1,training_fold_only,"{""d2m_mean_c_lag_1w"": 7.459407777775517, ""d2m_mean_c_lag_2w"": 7.490566557808382, ""d2m_mean_c_previous_4w_mean"": 7.530001761329128, ""stl1_mean_c_lag_1w"": 12.101234740286042, ""stl1_mean_c_lag_2w"": 12.17158851108552, ""stl1_mean_c_previous_4w_mean"": 12.211216172260055, ""stl2_mean_c_lag_1w"": 12.013446245268746, ""stl2_mean_c_lag_2w"": 12.077287929330394, ""stl2_mean_c_previous_4w_mean"": 12.101838453484714, ""swvl1_mean_m3_m3_lag_1w"": 0.351437878826343, ""swvl1_mean_m3_m3_lag_2w"": 0.35084689787453793, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.3504146387167261, ""swvl2_mean_m3_m3_lag_1w"": 0.349800141605141, ""swvl2_mean_m3_m3_lag_2w"": 0.34909547163940696, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.348668214060209, ""t2m_mean_c_lag_1w"": 12.048454689191132, ""t2m_mean_c_lag_2w"": 12.113349376720041, ""t2m_mean_c_previous_4w_mean"": 12.169985919115241, ""tp_sum_mm_lag_1w"": 24.210964355351486, ""tp_sum_mm_lag_2w"": 23.973119407239462, ""tp_sum_mm_previous_4w_sum"": 95.23322174288873}","{""d2m_mean_c_lag_1w"": 7.071504358512323, ""d2m_mean_c_lag_2w"": 7.0544317877244405, ""d2m_mean_c_previous_4w_mean"": 6.645846351412826, ""stl1_mean_c_lag_1w"": 7.484626055473172, ""stl1_mean_c_lag_2w"": 7.44519666373043, ""stl1_mean_c_previous_4w_mean"": 7.228880133464737, ""stl2_mean_c_lag_1w"": 7.065154799096709, ""stl2_mean_c_lag_2w"": 7.0299922563863895, ""stl2_mean_c_previous_4w_mean"": 6.862428874956629, ""swvl1_mean_m3_m3_lag_1w"": 0.04465116748736993, ""swvl1_mean_m3_m3_lag_2w"": 0.04465515927215035, ""swvl1_mean_m3_m3_previous_4w_mean"": 0.03856126598616928, ""swvl2_mean_m3_m3_lag_1w"": 0.04694274169042571, ""swvl2_mean_m3_m3_lag_2w"": 0.046850818225535974, ""swvl2_mean_m3_m3_previous_4w_mean"": 0.041626380615697685, ""t2m_mean_c_lag_1w"": 7.834316305000377, ""t2m_mean_c_lag_2w"": 7.800138291650552, ""t2m_mean_c_previous_4w_mean"": 7.496112243732297, ""tp_sum_mm_lag_1w"": 24.655172585631995, ""tp_sum_mm_lag_2w"": 24.60989712778432, ""tp_sum_mm_previous_4w_sum"": 61.99551031580787}",2017-12-25,2018-01-01,2017-11-26,2018-12-02,true,6,0,[],25915.4494310177,31609.7437885359
fold_03_validate_2019,statistical_baseline_s1,S1 baseline on common weather support,32436,28832,3604,10176,3,3,log(population),1,,,,2018-12-31,2019-01-07,2018-12-02,2019-12-01,true,6,0,[],54146.6039560465,69740.9822255645
fold_03_validate_2019,statistical_baseline_s1_plus_static_geography,S1 plus fixed municipality area,32436,28832,3604,10176,4,4,log(population),1,,,,2018-12-31,2019-01-07,2018-12-02,2019-12-01,true,6,0,[],54028.0640684401,68585.9440176617
